"","age.30","age.60","wkcls.private","wkcls.self_emp","wkcls.gov","educ.12","occ.prof","sex.male","hours.full","income.50K","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,0,0,1,NA,NA,0,NA,NA,5,18,478,12,813,0.0362903225806452,0.0145454545454545,0.0217448680351906,0.0097857913391894,0.0119590766960012,1321
"2",0,0,0,0,1,NA,NA,0,NA,NA,6,363,1897,130,2936,0.160619469026549,0.0424005218525766,0.118218947173972,0.109907747238832,0.00831119993513973,5326
"3",NA,0,NA,NA,0,NA,NA,0,NA,NA,7,970,6302,706,55457,0.133388338833883,0.0125705535672952,0.120817785266588,0.123191890525252,0.00237410525866352,63435
"4",0,1,0,NA,NA,NA,NA,0,NA,NA,9,201,1272,200,11396,0.136456211812627,0.017247326664367,0.11920888514826,0.101173303205521,0.0180355819427394,13069
"5",0,1,1,0,0,NA,NA,0,NA,NA,10,94,300,153,2206,0.238578680203046,0.0648579906740144,0.173720689529031,0.217937202105363,0.0442165125763317,2753
"6",NA,0,0,0,1,NA,1,1,0,NA,15,148,458,47,134,0.244224422442244,0.259668508287293,-0.0154440858450486,0.0126246029137912,0.0280686887588398,787
"7",NA,0,0,0,1,NA,1,1,1,NA,16,287,450,85,195,0.389416553595658,0.303571428571429,0.0858451250242295,0.112328507102258,0.0264833820780283,1017
"8",NA,0,0,0,1,NA,0,1,NA,NA,17,341,555,376,2741,0.380580357142857,0.120628809752968,0.25995154738989,0.259628663495473,0.000322883894416204,4013
"9",0,1,0,0,1,NA,NA,1,NA,NA,18,328,146,231,487,0.691983122362869,0.321727019498607,0.370256102864262,0.369920926955296,0.000335175908965646,1192
"10",NA,NA,NA,NA,0,NA,NA,1,NA,NA,19,5105,7115,5259,63672,0.417757774140753,0.0762936849893372,0.341464089151416,0.345873634357368,0.00440954520595188,81151
