"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"7","1111111",8268,1099,7169,0.0315811010681796,NA,NA,NA,NA,NA,8268,43,1137,48,7238,0.029852701024021,0.00172840004415864,8466
"8","1111112",11560,1017,10543,0.0509696163046664,NA,NA,NA,NA,NA,11560,59,979,110,10264,0.0462366454152277,0.00473297088943873,11412
"9","111112",3108,781,2327,0.101939762967381,NA,NA,NA,NA,NA,3108,142,606,148,2184,0.126374735142771,0.0244349721753895,3080
"17","111121",3653,587,3066,0.166629994743691,NA,NA,NA,NA,NA,3653,86,450,115,2987,0.123374904972237,0.0432550897714536,3638
"20","111122",2436,1950,486,0.0241468819246597,NA,NA,NA,NA,NA,2436,349,1599,65,435,0.0491581108829569,0.0250112289582972,2448
"24","11121",17031,2236,14795,0.159077941164913,NA,NA,NA,NA,NA,17031,408,1798,448,14518,0.1550156177514,0.0040623234135127,17172
"27","11122",3490,1669,1821,0.119651927170166,NA,NA,NA,NA,NA,3490,400,1273,226,1601,0.115391397746036,0.00426052942412974,3500
"33","112111",24603,388,24215,0.0122671471844792,NA,NA,NA,NA,NA,24603,10,342,20,24182,0.0275827129238004,0.0153155657393212,24554
"36","112112",408,35,373,0.0410570662581386,NA,NA,NA,NA,NA,408,1,34,9,320,0.00121580547112462,0.039841260787014,364
"37","11212",600,425,175,-0.0188235294117647,NA,NA,NA,NA,NA,600,21,398,6,177,0.0173324464963418,0.0361559759081065,602
"40","1122",10745,1693,9052,0.0551369014728579,NA,NA,NA,NA,NA,10745,104,1612,72,9042,0.0527061264388453,0.00243077503401254,10830
"47","121111",10030,2105,7925,0.26193995069573,NA,NA,NA,NA,NA,10030,805,1398,938,7027,0.247645580599873,0.0142943700958572,10168
"52","121112",17752,3335,14417,0.333818989097391,NA,NA,NA,NA,NA,17752,1502,1722,1800,12679,0.341562915539353,0.00774392644196165,17703
"56","12112111",7665,1014,6651,0.133053800691981,NA,NA,NA,NA,NA,7665,206,848,190,6436,0.166771003309944,0.0337172026179628,7680
"57","12112112",1001,181,820,0.210631990297804,NA,NA,NA,NA,NA,1001,92,116,114,717,0.305123576784227,0.094491586486423,1039
"58","1211212",639,119,520,0.282756948933419,NA,NA,NA,NA,NA,639,54,43,125,398,0.317695294790168,0.0349383458567483,620
"59","121122",2483,320,2163,0.260208622283865,NA,NA,NA,NA,NA,2483,159,183,436,1775,0.267716441714871,0.00750781943100565,2553
"62","121211",2623,1572,1051,0.00537413780163326,NA,NA,NA,NA,NA,2623,678,925,454,605,-0.00574937101527645,0.0111235088169097,2662
"65","121212",4527,2257,2270,0.210336905837736,NA,NA,NA,NA,NA,4527,1262,866,721,1488,0.266653080188021,0.0563161743502847,4337
"66","12122",3762,1676,2086,0.291550443117773,NA,NA,NA,NA,NA,3762,1197,470,872,1208,0.298825619491486,0.00727517637371283,3747
"74","122111",22698,186,22512,0.0427886489212922,NA,NA,NA,NA,NA,22698,4,161,8,22408,0.0238855363052365,0.0189031126160556,22581
"75","122112",12813,1737,11076,0.106793477752392,NA,NA,NA,NA,NA,12813,250,1433,274,10821,0.123848457268387,0.0170549795159949,12778
"78","12212",880,139,741,0.179370673501684,NA,NA,NA,NA,NA,880,28,98,52,732,0.155895691609977,0.0234749818917072,910
"81","1222",1289,361,928,0.0282978316935715,NA,NA,NA,NA,NA,1289,29,328,50,813,0.0232950654189834,0.00500276627458814,1220
