"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.00336479524223274,0.00690293270176258,0.0026683844875705
"2",0.00561091185524943,NA,NA
"3",0.0064763974227977,NA,NA
"4",0.00370224358261747,NA,NA
"5",0.00702902697435676,NA,NA
"6",0.00670382423560674,NA,NA
"7",0.00957193701580266,NA,NA
"8",0.0116686559251187,NA,NA
"9",0.00690149317362329,NA,NA
"10",0.00699629817054685,NA,NA
"11",0.00436891644338942,NA,NA
"12",0.00478738102725281,NA,NA
"13",0.0112837647067351,NA,NA
"14",0.0117712338817512,NA,NA
"15",0.00869340307100808,NA,NA
"16",0.00741414090488296,NA,NA
"17",0.00533316130660577,NA,NA
"18",0.00797799807063397,NA,NA
"19",0.00582944751046595,NA,NA
"20",0.00257362351457397,NA,NA
