"","bias","mean_bias","std_bias"
"1",0.0121545071029368,0.0117168340372863,0.00227025348074014
"2",0.0107414778059069,NA,NA
"3",0.013902644138381,NA,NA
"4",0.01418963059942,NA,NA
"5",0.0125404634771542,NA,NA
"6",0.0153878759238364,NA,NA
"7",0.00940822013406648,NA,NA
"8",0.0136392384880173,NA,NA
"9",0.00998094892040863,NA,NA
"10",0.00861137546645855,NA,NA
"11",0.00871550490452325,NA,NA
"12",0.0146981878727464,NA,NA
"13",0.0105978498012866,NA,NA
"14",0.0134403820388713,NA,NA
"15",0.0122905351628177,NA,NA
"16",0.00982727403317853,NA,NA
"17",0.0145898395632904,NA,NA
"18",0.011466399483114,NA,NA
"19",0.00813301962946888,NA,NA
"20",0.0100213061998423,NA,NA
