"","bias","mean_bias","std_bias"
"1",0.0101728769973352,0.0198352397095025,0.00691297885874507
"2",0.0167551579804008,NA,NA
"3",0.0360493418663805,NA,NA
"4",0.0259131561881327,NA,NA
"5",0.0193172809901462,NA,NA
"6",0.0181163600896248,NA,NA
"7",0.0127218552769222,NA,NA
"8",0.0267286639006667,NA,NA
"9",0.0248874175817319,NA,NA
"10",0.0240388553577836,NA,NA
"11",0.02183778971053,NA,NA
"12",0.0237321468733653,NA,NA
"13",0.0186883206663345,NA,NA
"14",0.0137242831470982,NA,NA
"15",0.011812637536898,NA,NA
"16",0.0158627482520735,NA,NA
"17",0.0313747803974174,NA,NA
"18",0.0185674134951903,NA,NA
"19",0.0131662278212472,NA,NA
"20",0.01323748006077,NA,NA
