"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.0491614970557987,0.0510480260186663,0.00511838331105626
"2",0.0525210021909777,NA,NA
"3",0.0532882342594603,NA,NA
"4",0.0492280731333322,NA,NA
"5",0.0474252413623927,NA,NA
"6",0.0542676931074711,NA,NA
"7",0.0415986454688815,NA,NA
"8",0.0607818287238781,NA,NA
"9",0.0557241160028775,NA,NA
"10",0.0470149242664975,NA,NA
"11",0.0484433928122413,NA,NA
"12",0.0532416420854733,NA,NA
"13",0.0415726146787955,NA,NA
"14",0.0601152793789182,NA,NA
"15",0.0527807354175465,NA,NA
"16",0.0488987791174896,NA,NA
"17",0.0469688323194278,NA,NA
"18",0.0562510454751922,NA,NA
"19",0.0520681593084609,NA,NA
"20",0.0496087842082137,NA,NA
