"","age.30","age.60","workclass.Private","workclass.Self.emp","workclass.gov","education.num.12","education.num.9","Prof","white","Male","hours.50","hours.30","US","class","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,0,0,1,NA,NA,0,NA,0,NA,NA,NA,NA,5,1,19,3,130,0.05,0.0225563909774436,0.0274436090225564,-0.0217391304347826,0.049182739457339,153
"2",1,0,0,0,1,NA,NA,1,NA,0,NA,NA,NA,NA,6,8,80,1,31,0.0909090909090909,0.03125,0.0596590909090909,0.0705882352941176,0.0109291443850267,120
"3",0,NA,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,8,108,213,48,329,0.336448598130841,0.127320954907162,0.209127643223679,0.243781452192667,0.0346538089689878,698
"4",0,NA,0,0,1,NA,NA,NA,0,0,NA,NA,NA,NA,9,17,52,11,159,0.246376811594203,0.0647058823529412,0.181670929241262,0.272943722943723,0.0912727937024612,239
"5",NA,NA,0,0,1,NA,NA,NA,NA,1,NA,NA,0,NA,11,47,44,17,54,0.516483516483517,0.23943661971831,0.277046896765207,0.176860874974083,0.100186021791124,162
"6",NA,NA,0,0,1,NA,NA,NA,NA,1,NA,NA,1,NA,12,416,330,308,806,0.557640750670241,0.276481149012567,0.281159601657674,0.29669014084507,0.0155305391873964,1860
"7",NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,15,102,164,53,454,0.383458646616541,0.104536489151874,0.278922157464668,0.320515205405043,0.0415930479403759,773
"8",NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,0,NA,17,16,60,23,364,0.210526315789474,0.0594315245478036,0.15109479124167,0.19017094017094,0.0390761489292701,463
"9",NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,0,NA,18,110,104,95,739,0.514018691588785,0.113908872901679,0.400109818687106,0.399022665834893,0.00108715285221339,1048
"10",NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,20,1879,1937,2203,11426,0.492400419287212,0.161640619267738,0.330759800019474,0.337832305662112,0.00707250564263828,17445
"11",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,22,87,94,84,422,0.480662983425414,0.16600790513834,0.314655078287074,0.342465465181117,0.0278103868940427,687
"12",0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,23,76,71,98,528,0.517006802721088,0.156549520766773,0.360457281954315,0.424188252888873,0.063730970934558,773
