"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"4","1111",4753,1099,3654,0.246158995115727,NA,NA,NA,NA,NA,4753,347,777,338,3307,0.215989094406124,0.0301699007096035,4769
"52","11121",136,74,62,0.257628596338274,NA,NA,NA,NA,NA,136,30,46,17,60,0.173957621326042,0.0836709750122313,153
"57","11122",196,58,138,0.550974512743628,NA,NA,NA,NA,NA,196,19,38,17,109,0.198412698412698,0.35256181433093,183
"63","1121",4941,643,4298,0.227834639714519,NA,NA,NA,NA,NA,4941,287,355,908,3438,0.238112748787513,0.0102781090729938,4988
"100","1122",7133,2945,4188,0.349368476186306,NA,NA,NA,NA,NA,7133,2013,967,1451,2644,0.321168801370144,0.0281996748161628,7075
"145","1211",4302,370,3932,0.0213068103708999,NA,NA,NA,NA,NA,4302,25,296,110,3834,0.0499911534062545,0.0286843430353546,4265
"176","1212",228,21,207,0.180124223602484,NA,NA,NA,NA,NA,228,5,15,17,184,0.165422885572139,0.0147013380303452,221
"180","1221",434,216,218,0.028754672103296,NA,NA,NA,NA,NA,434,30,174,25,205,0.0383631713554987,0.00960849925220277,434
"196","12221",1878,571,1307,0.149815690000094,NA,NA,NA,NA,NA,1878,109,464,79,1255,0.131006486285653,0.0188092037144408,1907
"209","12222",420,55,365,-0.010958904109589,NA,NA,NA,NA,NA,420,3,58,2,363,0.0437008758140579,0.054659779923647,426
