"","bias","mean_bias","std_bias"
"1",0.0255502099546357,0.0183573128452727,0.00493438545089609
"2",0.0161963819244364,NA,NA
"3",0.0173420936265327,NA,NA
"4",0.0158507037663353,NA,NA
"5",0.0135845112579283,NA,NA
"6",0.0168797387911176,NA,NA
"7",0.020545172403813,NA,NA
"8",0.0126785249995565,NA,NA
"9",0.0143187010469714,NA,NA
"10",0.0164830143229225,NA,NA
"11",0.019407882700695,NA,NA
"12",0.0249572496964313,NA,NA
"13",0.0226200558636206,NA,NA
"14",0.0270624732902353,NA,NA
"15",0.0160253805389155,NA,NA
"16",0.0130972533455367,NA,NA
"17",0.0119399316005825,NA,NA
"18",0.0281211131876476,NA,NA
"19",0.0154604869290576,NA,NA
"20",0.0190253776584826,NA,NA
