"","bias","mean_bias","std_bias"
"1",0.0361450275839866,0.0315927876118247,0.0039434073018662
"2",0.0287864255170435,NA,NA
"3",0.0363356820783445,NA,NA
"4",0.0279485520715025,NA,NA
"5",0.0342164427216103,NA,NA
"6",0.0373057758888087,NA,NA
"7",0.0367329654320528,NA,NA
"8",0.031462916687784,NA,NA
"9",0.0298451475565512,NA,NA
"10",0.0287254823837602,NA,NA
"11",0.0379035640966707,NA,NA
"12",0.0313496342082224,NA,NA
"13",0.0300052962814586,NA,NA
"14",0.0268667107194906,NA,NA
"15",0.0276241518655634,NA,NA
"16",0.0256554854449439,NA,NA
"17",0.0275978438383181,NA,NA
"18",0.0288405968044928,NA,NA
"19",0.034705599123137,NA,NA
"20",0.0338024519327516,NA,NA
