"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.158945442589558,0.163209299788993,0.00883246218988644
"2",0.170739610576699,NA,NA
"3",0.159426517685549,NA,NA
"4",0.167474761322791,NA,NA
"5",0.163364679227659,NA,NA
"6",0.163934504637844,NA,NA
"7",0.169930593479975,NA,NA
"8",0.154492761280013,NA,NA
"9",0.154671781468106,NA,NA
"10",0.175610927409776,NA,NA
"11",0.15327336949447,NA,NA
"12",0.168787564107536,NA,NA
"13",0.147594225608832,NA,NA
"14",0.179169197959408,NA,NA
"15",0.171987920223452,NA,NA
"16",0.151534675806374,NA,NA
"17",0.162892329242907,NA,NA
"18",0.16286718736489,NA,NA
"19",0.154154569780623,NA,NA
"20",0.173333376513397,NA,NA
