,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0,0.0,,,0.642715,309,173,237,444,0.6410788381742739,0.34801762114537443,0.2930612170288995,0.34965378297110056,1163
1,,,,,0.0,,,,0.0,,,0.0,0.256757,33,131,24,542,0.20121951219512196,0.04240282685512368,0.1588166853399983,0.09794031466000172,730
2,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,,,0.477778,47,37,39,94,0.5595238095238095,0.2932330827067669,0.26629072681704263,0.21148727318295735,217
3,,,,,0.0,,,,,,,1.0,0.496148,2073,2106,2376,12354,0.49605168700646085,0.16130346232179227,0.3347482246846686,0.1613997753153314,18909
4,,,1.0,0.0,0.0,,,,1.0,,,0.0,0.512048,134,163,108,830,0.4511784511784512,0.11513859275053305,0.3360398584279181,0.17600814157208183,1235
5,,,0.0,,0.0,,,,1.0,,,0.0,0.505618,61,41,33,148,0.5980392156862745,0.18232044198895028,0.41571877369732424,0.08989922630267577,283
6,1.0,0.0,0.0,0.0,1.0,,,,,,,,0.092233,22,199,25,385,0.09954751131221719,0.06097560975609756,0.03857190155611963,0.05366109844388037,631
7,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,,,0.35119,105,207,58,425,0.33653846153846156,0.12008281573498965,0.21645564580347193,0.13473435419652807,795
8,0.0,1.0,0.0,0.0,1.0,,,,,0.0,,,0.416667,24,35,22,119,0.4067796610169492,0.15602836879432624,0.25075129222262293,0.16591570777737707,200
9,0.0,,0.0,0.0,1.0,,,,,1.0,0.0,,0.577465,89,63,41,66,0.5855263157894737,0.38317757009345793,0.20234874569601574,0.37511625430398426,259
