"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",0,0,1,1,1,1,1,0,NA,0,1,1,NA,NA,5,12,349,2,83,0.0332409972299169,0.0235294117647059,0.00971158546521102,-0.0735578784359272,0.0832694639011382,446
"2",1,0,1,1,1,NA,NA,NA,NA,0,1,1,NA,NA,6,23,411,6,85,0.0529953917050691,0.0659340659340659,-0.0129386742289968,0.012452711223203,0.0253913854521998,525
"3",NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,NA,NA,7,256,57040,47,10313,0.00446802569114772,0.00453667953667954,-6.86538455318131e-05,0.000441113108745869,0.000509766954277682,67656
"4",NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,1,NA,NA,9,20,3176,1,606,0.00625782227784731,0.00164744645799012,0.00461037581985719,-0.00116736878361551,0.0057777446034727,3803
"5",NA,NA,NA,0,NA,NA,0,NA,1,0,NA,1,NA,NA,11,35,4109,3,687,0.00844594594594595,0.00434782608695652,0.00409811985898942,0.00543136388448442,0.00133324402549499,4834
"6",NA,0,1,0,NA,1,0,0,0,0,NA,1,NA,NA,13,83,1467,11,229,0.0535483870967742,0.0458333333333333,0.00771505376344087,0.031003438924148,0.0232883851607071,1790
"7",NA,NA,1,0,NA,0,0,NA,0,0,NA,1,NA,NA,14,52,425,3,72,0.109014675052411,0.04,0.0690146750524109,0.0662136536030341,0.00280102144937677,552
"8",NA,0,NA,NA,NA,1,NA,0,1,1,NA,NA,NA,NA,17,50,3447,8,688,0.0142979696883043,0.0114942528735632,0.00280371681474104,0.0015976539506641,0.00120606286407694,4193
"9",1,0,NA,NA,1,1,NA,0,0,1,NA,0,NA,NA,20,79,82,11,13,0.490683229813665,0.458333333333333,0.0323498964803313,-0.214957264957265,0.247307161437596,185
"10",1,0,NA,1,NA,1,NA,0,0,1,NA,1,NA,NA,22,557,1595,79,286,0.258828996282528,0.216438356164384,0.0423906401181443,0.0087183516232861,0.0336722884948582,2517
"11",1,0,1,0,NA,1,NA,0,0,1,NA,1,NA,NA,24,19,188,1,23,0.0917874396135266,0.0416666666666667,0.0501207729468599,0.0551896434249375,0.00506887047807763,231
"12",1,0,0,0,NA,1,NA,0,0,1,NA,1,NA,NA,25,45,78,5,16,0.365853658536585,0.238095238095238,0.127758420441347,0.176024705221786,0.0482662847804383,144
"13",0,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,26,2182,7326,309,1334,0.229490954985276,0.188070602556299,0.0414203524289761,0.0447196736923713,0.00329932126339522,11151
"14",1,NA,1,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,29,26,133,3,26,0.163522012578616,0.103448275862069,0.0600737367165474,-0.00405679513184584,0.0641305318483932,188
"15",0,NA,1,0,1,0,NA,1,0,1,1,NA,NA,NA,31,32,80,2,6,0.285714285714286,0.25,0.0357142857142857,0.0763546798029557,0.04064039408867,120
"16",0,0,1,NA,0,0,NA,1,NA,1,0,1,NA,NA,33,44,147,8,16,0.230366492146597,0.333333333333333,-0.102966841186736,0.157051282051282,0.260018123238019,215
"17",0,1,1,NA,0,0,NA,1,NA,1,0,1,NA,NA,34,36,165,0,28,0.17910447761194,0,0.17910447761194,0.197115384615385,0.0180109070034443,229
"18",0,NA,0,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,36,431,456,40,81,0.485907553551297,0.330578512396694,0.155329041154602,0.197048886073276,0.0417198449186741,1008
"19",1,NA,0,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,37,75,112,7,18,0.401069518716578,0.28,0.121069518716578,0.274390243902439,0.153320725185862,212
