"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.00436172456505658,0.00574633162863861,0.00201369755014907
"2",0.00854479568773698,NA,NA
"3",0.00628555743309879,NA,NA
"4",0.00488605735991309,NA,NA
"5",0.00882362330913477,NA,NA
"6",0.00900228867048138,NA,NA
"7",0.00947296704473347,NA,NA
"8",0.00269094650499862,NA,NA
"9",0.0040729529989379,NA,NA
"10",0.00558548918467258,NA,NA
"11",0.00342616715727772,NA,NA
"12",0.00643143057944704,NA,NA
"13",0.00509708351365571,NA,NA
"14",0.00717096550870967,NA,NA
"15",0.00483784050553265,NA,NA
"16",0.00310934415542612,NA,NA
"17",0.00456128471016626,NA,NA
"18",0.00559889453588075,NA,NA
"19",0.00660123223762478,NA,NA
"20",0.00436598691028741,NA,NA
