"","bias","mean_bias","std_bias"
"1",0.00395888616941189,0.00360888365779803,0.00176939335998641
"2",0.00392250916096876,NA,NA
"3",0.00160961480079852,NA,NA
"4",0.0031265231347951,NA,NA
"5",0.00804313014737832,NA,NA
"6",0.00786018560134039,NA,NA
"7",0.00320957026510678,NA,NA
"8",0.00261186031560658,NA,NA
"9",0.00359088355476641,NA,NA
"10",0.00499776108185256,NA,NA
"11",0.00120512833483725,NA,NA
"12",0.00368556171951815,NA,NA
"13",0.00455818432610155,NA,NA
"14",0.00383787781699884,NA,NA
"15",0.00235497088920365,NA,NA
"16",0.00307933060786603,NA,NA
"17",0.00302732066851911,NA,NA
"18",0.00206468549026079,NA,NA
"19",0.00352625439636859,NA,NA
"20",0.00190743467426124,NA,NA
