"","bias","mean_bias","std_bias"
"1",0.0125526955636997,0.00794449599589309,0.00361327888968867
"2",0.0087419621579813,NA,NA
"3",0.00491648357498133,NA,NA
"4",0.00988348164652836,NA,NA
"5",0.0163111951518937,NA,NA
"6",0.0130720676189126,NA,NA
"7",0.00611828075086278,NA,NA
"8",0.0110197283621793,NA,NA
"9",0.00551333107348475,NA,NA
"10",0.0131822855289202,NA,NA
"11",0.00569602284761897,NA,NA
"12",0.00652416645115476,NA,NA
"13",0.0080335720024054,NA,NA
"14",0.00684605006024071,NA,NA
"15",0.00757248442671225,NA,NA
"16",0.00324396376097681,NA,NA
"17",0.00527496602049704,NA,NA
"18",0.00328196037460131,NA,NA
"19",0.00553806416608865,NA,NA
"20",0.00556715837812194,NA,NA
