"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.0426897141737782,0.0403799414157137,0.00159661449509157
"2",0.0379085638561314,NA,NA
"3",0.0409704920602438,NA,NA
"4",0.0403405852783632,NA,NA
"5",0.0374964355793727,NA,NA
"6",0.0435683811066093,NA,NA
"7",0.041682645788137,NA,NA
"8",0.0388522561293109,NA,NA
"9",0.0410071995940247,NA,NA
"10",0.0392090212062238,NA,NA
"11",0.0404208987166494,NA,NA
"12",0.040240818431367,NA,NA
"13",0.0384484943793563,NA,NA
"14",0.0416744851865652,NA,NA
"15",0.0401676274766525,NA,NA
"16",0.0399831953647975,NA,NA
"17",0.0424356731567548,NA,NA
"18",0.0390347310516795,NA,NA
"19",0.0412077722505293,NA,NA
"20",0.0402598375277268,NA,NA
