,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,,1.0,0.0,1.0,0.319569,329,730,46,121,0.31067044381491976,0.2754491017964072,0.03522134201851257,0.2843476579814874,1226
1,,,0.0,,1.0,0.0,,,0.0,1.0,1.0,,0.597561,217,166,29,28,0.566579634464752,0.5087719298245614,0.05780770464019058,0.5397532953598094,440
2,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.274603,676,1838,69,312,0.26889419252187746,0.18110236220472442,0.08779183031715304,0.18681116968284694,2895
3,,,0.0,,,0.0,,,,1.0,0.0,,0.411326,287,445,18,75,0.39207650273224043,0.1935483870967742,0.19852811563546624,0.21279788436453378,825
4,,0.0,,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.357143,249,441,44,78,0.36086956521739133,0.36065573770491804,0.0002138275124732858,0.3569291724875267,812
5,,0.0,,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.432735,200,231,30,35,0.46403712296983757,0.46153846153846156,0.0024986614313760036,0.430236338568624,496
6,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.259777,108,260,17,52,0.29347826086956524,0.2463768115942029,0.047101449275362334,0.21267555072463765,437
7,,0.0,,0.0,1.0,1.0,,0.0,,1.0,,0.0,0.43956,230,240,28,42,0.48936170212765956,0.4,0.08936170212765954,0.35019829787234047,540
8,,0.0,,1.0,1.0,1.0,,0.0,,1.0,,0.0,0.5,198,313,29,46,0.38747553816046965,0.38666666666666666,0.0008088714938029873,0.499191128506197,586
9,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.002272,4,2584,0,495,0.0015455950540958269,0.0,0.0015455950540958269,0.0007264049459041733,3083
10,1.0,0.0,1.0,0.0,,1.0,,0.0,,0.0,,1.0,0.044118,14,393,1,64,0.0343980343980344,0.015384615384615385,0.019013419013419013,0.025104580986580985,472
11,,,,,,0.0,,,1.0,0.0,,1.0,0.012121,13,1791,0,311,0.007206208425720621,0.0,0.007206208425720621,0.004914791574279379,2115
12,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,,1.0,0.022472,8,905,1,164,0.008762322015334063,0.006060606060606061,0.0027017159547280028,0.019770284045271997,1078
13,0.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.018501,94,5842,19,1075,0.015835579514824796,0.01736745886654479,-0.0015318793517199933,0.020032879351719993,7030
14,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.003067,4,356,1,57,0.011111111111111112,0.017241379310344827,-0.006130268199233716,0.009197268199233716,418
15,,0.0,1.0,1.0,0.0,1.0,,0.0,,1.0,0.0,1.0,0.061368,340,4856,53,942,0.06543494996150885,0.053266331658291456,0.012168618303217395,0.049199381696782604,6191
16,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.034247,63,2415,9,418,0.025423728813559324,0.02107728337236534,0.004346445441193985,0.029900554558806015,2905
