"","mens","womens","newbie","segment","visit","conversion","recency_1","recency_10","recency_11","recency_12","recency_2","recency_3","recency_4","recency_5","recency_6","recency_7","recency_8","recency_9","recency_1.1","recency_2.1","recency_3.1","recency_4.1","recency_5.1","recency_6.1","recency_7.1","zip_code_Rural","zip_code_Surburban","zip_code_Urban","channel_Multichannel","channel_Phone","channel_Web","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,5,25,172,49,333,0.126903553299492,0.128272251308901,-0.00136869800940814,-0.0873015873015873,0.0859328892921792,579
"2",1,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,7,265,1578,653,3058,0.143787303309821,0.175963352196174,-0.0321760488863526,-0.0384877486881213,0.00631169980176871,5554
"3",1,0,0,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,NA,0,NA,0,NA,NA,10,8,60,29,135,0.117647058823529,0.176829268292683,-0.0591822094691535,-0.0909090909090909,0.0317268814399374,232
"4",1,0,0,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,11,1,54,13,108,0.0181818181818182,0.107438016528926,-0.0892561983471074,0.0196078431372549,0.108864041484362,176
"5",1,0,0,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,14,11,68,14,125,0.139240506329114,0.100719424460432,0.0385210818686823,-0.0326710816777042,0.0711921635463865,218
"6",1,0,0,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,1,15,7,63,23,107,0.1,0.176923076923077,-0.0769230769230769,0.0719602977667494,0.148883374689826,200
"7",1,0,0,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,1,0,0,NA,NA,NA,16,4,17,8,49,0.19047619047619,0.140350877192982,0.050125313283208,0.294545454545455,0.244420141262247,78
"8",1,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,22,20,117,36,167,0.145985401459854,0.177339901477833,-0.0313545000179785,-0.159264497878359,0.127909997860381,340
"9",1,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,23,20,112,30,253,0.151515151515152,0.106007067137809,0.0455080843773423,-0.0569520340012143,0.102460118378557,415
"10",1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,24,2,22,4,47,0.0833333333333333,0.0784313725490196,0.00490196078431372,0.0502625656414104,0.0453606048570966,75
"11",1,0,1,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,25,6,22,8,40,0.214285714285714,0.166666666666667,0.0476190476190476,0.0737179487179487,0.0260989010989011,76
"12",1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,26,2,39,7,60,0.0487804878048781,0.104477611940299,-0.0556971241354205,0.044055944055944,0.0997530681913645,108
"13",1,0,1,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,28,11,238,29,444,0.0441767068273092,0.0613107822410148,-0.0171340754137056,-0.0510625737898465,0.0339284983761409,722
"14",1,0,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,29,153,1513,331,3023,0.0918367346938776,0.0986881335718545,-0.00685139887797695,-0.00979428954283133,0.00294289066485438,5020
"15",1,0,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,NA,NA,31,5,53,15,81,0.0862068965517241,0.15625,-0.0700431034482759,-0.0512820512820513,0.0187610521662246,154
"16",1,0,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5,116,27,219,0.0413223140495868,0.109756097560976,-0.0684337835113888,0.0545203588681849,0.122954142379574,367
"17",NA,1,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,36,10,31,21,77,0.24390243902439,0.214285714285714,0.029616724738676,-0.184761904761905,0.214378629500581,139
"18",NA,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,38,20,47,23,96,0.298507462686567,0.19327731092437,0.105230151762197,-0.134924941219027,0.240155092981224,186
"19",0,1,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,1,0,41,16,71,29,166,0.183908045977011,0.148717948717949,0.0351900972590628,-0.0785145888594164,0.113704686118479,282
"20",NA,1,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,1,0,0,NA,NA,0,43,25,84,46,158,0.229357798165138,0.225490196078431,0.00386760208670625,-0.0525013743815283,0.0563689764682345,313
"21",1,1,1,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,0,46,8,18,17,33,0.307692307692308,0.34,-0.0323076923076923,-0.139130434782609,0.106822742474916,76
"22",0,1,1,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,0,47,6,23,10,44,0.206896551724138,0.185185185185185,0.0217113665389528,0.0402298850574713,0.0185185185185185,83
"23",NA,1,1,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,48,14,68,34,140,0.170731707317073,0.195402298850575,-0.0246705915335015,0.108391608391608,0.13306219992511,256
"24",NA,1,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,49,7,49,12,92,0.125,0.115384615384615,0.00961538461538461,0.0857142857142857,0.0760989010989011,160
"25",NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,51,8,31,11,60,0.205128205128205,0.154929577464789,0.0501986276634164,-0.134646962233169,0.184845589896586,110
"26",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,1,54,19,69,25,119,0.215909090909091,0.173611111111111,0.0422979797979798,-0.0613728376886272,0.103670817486607,232
"27",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1,0,0,0,0,1,55,54,170,96,356,0.241071428571429,0.212389380530973,0.0286820480404551,0.0494588081850789,0.0207767601446237,676
"28",NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,56,7,26,17,61,0.212121212121212,0.217948717948718,-0.00582750582750582,0.175075301204819,0.180902807032325,111
"29",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,60,28,0,59,0,1,1,0,0,0,87
"30",NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,61,470,2169,812,4508,0.178097764304661,0.152631578947368,0.0254661853572924,0.0278485043192689,0.00238231896197649,7959
"31",NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,63,14,41,14,74,0.254545454545455,0.159090909090909,0.0954545454545454,-0.0817647058823529,0.177219251336898,143
"32",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,66,63,307,95,643,0.17027027027027,0.128726287262873,0.0415439830073976,0.0405316692282146,0.00101231377918304,1108
"33",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,67,61,184,129,394,0.248979591836735,0.246653919694073,0.00232567214266202,0.100573398242232,0.0982477260995702,768
"34",NA,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,68,5,29,12,45,0.147058823529412,0.210526315789474,-0.0634674922600619,0.235,0.298467492260062,91
"35",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,0,NA,NA,70,230,1219,335,2691,0.158730158730159,0.110707204230007,0.0480229545001521,0.0486573174302848,0.00063436293013272,4475
"36",0,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,0,NA,NA,71,22,133,34,227,0.141935483870968,0.130268199233716,0.0116672846372513,0.126355296080067,0.114688011442815,416
