"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.0489382565384856,0.0338072593063388,0.00921491434117093
"2",0.033072051114492,NA,NA
"3",0.0406188505669834,NA,NA
"4",0.0299504547757576,NA,NA
"5",0.0278294933782049,NA,NA
"6",0.0321297061169771,NA,NA
"7",0.040521775000177,NA,NA
"8",0.0220150494157026,NA,NA
"9",0.0380914501793004,NA,NA
"10",0.0366733049147881,NA,NA
"11",0.0407169653710844,NA,NA
"12",0.0414762565945782,NA,NA
"13",0.0355084020359087,NA,NA
"14",0.0364044177951254,NA,NA
"15",0.0433171606302024,NA,NA
"16",0.00791067465918165,NA,NA
"17",0.0304265873517515,NA,NA
"18",0.0257093722722672,NA,NA
"19",0.0248271905838166,NA,NA
"20",0.0400077668319904,NA,NA
