"","bias","mean_bias","std_bias"
"1",0.00666998193523216,0.00650775217637137,0.00266784467134005
"2",0.010279885136992,NA,NA
"3",0.00854685567057221,NA,NA
"4",0.00893668133931437,NA,NA
"5",0.00803050613413918,NA,NA
"6",0.00886141143063197,NA,NA
"7",0.00548271839400017,NA,NA
"8",0.00478672836265937,NA,NA
"9",0.00568087493261735,NA,NA
"10",0.0052048177952643,NA,NA
"11",0.00239945149933681,NA,NA
"12",0.00648447804660053,NA,NA
"13",0.00969668376627702,NA,NA
"14",0.0108030727465991,NA,NA
"15",0.00309149466719993,NA,NA
"16",0.0031098950889133,NA,NA
"17",0.00367845495690982,NA,NA
"18",0.00399090647228555,NA,NA
"19",0.00469758778105714,NA,NA
"20",0.00972255737082513,NA,NA
