"","bias","mean_bias","std_bias"
"1",0.037542347160062,0.029713494644131,0.00769659514652012
"2",0.0412714907254233,NA,NA
"3",0.0273517896697221,NA,NA
"4",0.0362320579796352,NA,NA
"5",0.0313699051901909,NA,NA
"6",0.0303284705841246,NA,NA
"7",0.0263209783605045,NA,NA
"8",0.0296339412209166,NA,NA
"9",0.0414091908775177,NA,NA
"10",0.0272532811197278,NA,NA
"11",0.0305785519884335,NA,NA
"12",0.0195912243153447,NA,NA
"13",0.0294909117052396,NA,NA
"14",0.0275455482318143,NA,NA
"15",0.0419377928085218,NA,NA
"16",0.0123421640763298,NA,NA
"17",0.0239928836714141,NA,NA
"18",0.0192680117897352,NA,NA
"19",0.0338063897934588,NA,NA
"20",0.0270029616145033,NA,NA
