"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.158100087663072,0.164468918210024,0.00508510350570376
"2",0.171842618665311,NA,NA
"3",0.168386070514287,NA,NA
"4",0.158845577734386,NA,NA
"5",0.170962424981445,NA,NA
"6",0.156306820276537,NA,NA
"7",0.161660118595636,NA,NA
"8",0.166070309024775,NA,NA
"9",0.167892261883192,NA,NA
"10",0.160171615092352,NA,NA
"11",0.168709873493782,NA,NA
"12",0.161270129897064,NA,NA
"13",0.162472114596323,NA,NA
"14",0.168379029377574,NA,NA
"15",0.16926754202883,NA,NA
"16",0.160229999522014,NA,NA
"17",0.167436390559212,NA,NA
"18",0.162424024736897,NA,NA
"19",0.157457648843574,NA,NA
"20",0.171493706714215,NA,NA
