,mens,womens,newbie,conversion,recency_1,recency_10,recency_11,recency_12,recency_2,recency_3,recency_4,recency_5,recency_6,recency_7,recency_8,recency_9,recency_1.1,recency_2.1,recency_3.1,recency_4.1,recency_5.1,recency_6.1,recency_7.1,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,0.0,1.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.213953,16,105,32,189,0.1322314049586777,0.14479638009049775,-0.012564975131820061,0.22651797513182007,342
1,1.0,1.0,1.0,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.231707,21,67,55,135,0.23863636363636365,0.2894736842105263,-0.05083732057416268,0.2825443205741627,278
2,0.0,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.171717,15,60,41,156,0.2,0.20812182741116753,-0.008121827411167515,0.17983882741116752,272
3,1.0,0.0,1.0,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.080486,94,1201,203,2363,0.07258687258687259,0.07911145752143414,-0.006524584934561553,0.08701058493456156,3861
4,1.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.143737,151,1044,345,2087,0.12635983263598327,0.14185855263157895,-0.015498719995595683,0.1592357199955957,3627
5,1.0,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,0.138075,18,105,38,207,0.14634146341463414,0.15510204081632653,-0.008760577401692393,0.1468355774016924,368
6,0.0,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,1.0,,,0.0,0.171674,19,99,33,209,0.16101694915254236,0.13636363636363635,0.024653312788906007,0.147020687211094,360
7,1.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.28,14,51,46,137,0.2153846153846154,0.25136612021857924,-0.03598150483396384,0.31598150483396387,248
8,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.078125,13,92,18,181,0.12380952380952381,0.09045226130653267,0.03335726250299115,0.04476773749700885,304
9,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,1.0,0.0,,,,0.298507,28,50,33,96,0.358974358974359,0.2558139534883721,0.10316040548598687,0.19534659451401315,207
10,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,,0.1875,20,110,49,224,0.15384615384615385,0.1794871794871795,-0.025641025641025633,0.21314102564102563,403
11,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.154762,29,156,51,262,0.15675675675675677,0.16293929712460065,-0.006182540367843881,0.1609445403678439,498
12,0.0,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.187097,16,65,27,121,0.19753086419753085,0.18243243243243243,0.015098431765098425,0.1719985682349016,229
13,1.0,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.191011,15,73,31,141,0.17045454545454544,0.18023255813953487,-0.009778012684989429,0.20078901268498942,260
14,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,,,0.121212,11,73,20,153,0.13095238095238096,0.11560693641618497,0.01534544453619599,0.10586655546380401,257
15,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.233533,16,70,30,134,0.18604651162790697,0.18292682926829268,0.0031196823596142953,0.2304133176403857,250
16,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,,,,0.070175,5,102,21,203,0.04672897196261682,0.09375,-0.04702102803738318,0.11719602803738319,331
