"","mens","womens","newbie","segment","visit","conversion","recency_1","recency_10","recency_11","recency_12","recency_2","recency_3","recency_4","recency_5","recency_6","recency_7","recency_8","recency_9","recency_1.1","recency_2.1","recency_3.1","recency_4.1","recency_5.1","recency_6.1","recency_7.1","zip_code_Rural","zip_code_Surburban","zip_code_Urban","channel_Multichannel","channel_Phone","channel_Web","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,NA,NA,8,4,28,3,34,0.125,0.0810810810810811,0.0439189189189189,-0.147173489278752,0.191092408197671,69
"2",1,0,1,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,9,4,44,2,51,0.0833333333333333,0.0377358490566038,0.0455974842767296,-0.0121886592474828,0.0577861435242123,101
"3",1,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,0,0,1,13,7,27,3,17,0.205882352941176,0.15,0.0558823529411765,-0.214285714285714,0.270168067226891,54
"4",1,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,14,2,33,6,29,0.0571428571428571,0.171428571428571,-0.114285714285714,-0.0347222222222222,0.0795634920634921,70
"5",1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,1,0,NA,NA,NA,15,10,30,1,45,0.25,0.0217391304347826,0.228260869565217,0.0820512820512821,0.146209587513935,86
"6",1,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0,1,NA,NA,NA,18,3,23,2,32,0.115384615384615,0.0588235294117647,0.0565610859728507,-0.153474903474904,0.210035989447754,60
"7",1,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,19,3,58,2,48,0.0491803278688525,0.04,0.00918032786885246,0.0329941412272587,0.0238138133584062,111
"8",1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,0,1,0,23,5,30,1,41,0.142857142857143,0.0238095238095238,0.119047619047619,-0.121428571428571,0.24047619047619,77
"9",1,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,24,2,39,2,51,0.0487804878048781,0.0377358490566038,0.0110446387482743,0.0318181818181818,0.0207735430699075,94
"10",1,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,1,25,18,62,5,78,0.225,0.0602409638554217,0.164759036144578,0.0829420970266041,0.0818169391179743,163
"11",1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,26,194,898,126,1035,0.177655677655678,0.108527131782946,0.0691285458727319,0.0620939345089753,0.00703461136375663,2253
"12",1,0,1,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,29,14,71,5,84,0.164705882352941,0.0561797752808989,0.108526107072042,-0.0590909090909091,0.167617016162951,174
"13",1,0,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,30,21,83,6,78,0.201923076923077,0.0714285714285714,0.130494505494506,0.079395900755124,0.0510986047393815,188
"14",1,0,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,33,12,52,4,54,0.1875,0.0689655172413793,0.118534482758621,-0.0793269230769231,0.197861405835544,122
"15",1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,NA,NA,35,107,568,48,599,0.158518518518519,0.0741885625965997,0.0843299559219188,0.0514710754400402,0.0328588804818787,1322
"16",1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,36,10,48,11,65,0.172413793103448,0.144736842105263,0.0276769509981851,0.195361635220126,0.167684684221941,134
"17",1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,0,NA,0,NA,NA,39,4,27,4,30,0.129032258064516,0.117647058823529,0.0113851992409867,-0.0947368421052632,0.10612204134625,65
"18",1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,0,NA,0,NA,NA,40,4,40,4,35,0.0909090909090909,0.102564102564103,-0.0116550116550116,0.0941850941850942,0.105840105840106,83
"19",1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,0,0,0,0,0,0,NA,0,NA,0,NA,NA,41,134,768,67,813,0.148558758314856,0.0761363636363636,0.0724223946784922,0.105286419328701,0.0328640246502086,1782
"20",1,0,1,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,42,15,58,7,49,0.205479452054795,0.125,0.0804794520547945,0.185699409927109,0.105219957872314,129
"21",0,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,47,30,133,15,141,0.184049079754601,0.0961538461538462,0.0878952336007551,0.0107052054061287,0.0771900281946263,319
"22",0,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,50,39,136,25,149,0.222857142857143,0.14367816091954,0.0791789819376026,0.0114061967994552,0.0677727851381474,349
"23",0,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,51,207,1319,118,1342,0.13564875491481,0.0808219178082192,0.0548268371065908,0.0664427200741442,0.0116158829675534,2986
"24",0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,0,0,0,0,1,0,NA,NA,54,4,55,4,59,0.0677966101694915,0.0634920634920635,0.00430454667742804,-0.00200918484500574,0.00631373152243377,122
"25",0,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,0,0,NA,NA,55,9,68,3,84,0.116883116883117,0.0344827586206897,0.0824003582624272,0.0794148380355277,0.00298552022689953,164
"26",0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,56,213,994,99,1010,0.176470588235294,0.0892696122633003,0.0872009759719939,0.0915664086857646,0.00436543271377074,2316
"27",0,1,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,47,224,20,252,0.173431734317343,0.0735294117647059,0.0999023225526373,0.120617495711835,0.020715173159198,543
"28",0,1,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,59,10,73,12,78,0.120481927710843,0.133333333333333,-0.01285140562249,0.0743451463790447,0.0871965520015346,173
"29",0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,61,4,51,1,52,0.0727272727272727,0.0188679245283019,0.0538593481989708,0.153214774281806,0.0993554260828349,108
"30",0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,1,0,NA,NA,NA,62,3,16,1,22,0.157894736842105,0.0434782608695652,0.11441647597254,0.367741935483871,0.253325459511331,42
"31",1,1,1,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,5,29,4,32,0.147058823529412,0.111111111111111,0.0359477124183007,-0.12962962962963,0.16557734204793,70
"32",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,130,299,75,351,0.303030303030303,0.176056338028169,0.126973965002134,0.150086165494251,0.0231122004921169,855
"33",0,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,68,4,23,6,20,0.148148148148148,0.230769230769231,-0.0826210826210826,-0.109090909090909,0.0264698264698265,53
