"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.0355506749108043,0.0381642512115064,0.00998336157316588
"2",0.0490974298081983,NA,NA
"3",0.0355417971112374,NA,NA
"4",0.047134979440802,NA,NA
"5",0.0373383889337982,NA,NA
"6",0.0392385424356402,NA,NA
"7",0.045520491986417,NA,NA
"8",0.0255863256644983,NA,NA
"9",0.0497594799913046,NA,NA
"10",0.0246571476073514,NA,NA
"11",0.0491900540227664,NA,NA
"12",0.0403834518070307,NA,NA
"13",0.0288172184565007,NA,NA
"14",0.0468144667222152,NA,NA
"15",0.0122128594682291,NA,NA
"16",0.0415460083219791,NA,NA
"17",0.0457640400122071,NA,NA
"18",0.0297204426316793,NA,NA
"19",0.0351494787314834,NA,NA
"20",0.044261746165986,NA,NA
