"","bias","mean_bias","std_bias"
"1",0.0254416031709182,0.0202168453763235,0.00343803896786524
"2",0.0194469062280899,NA,NA
"3",0.0278880076438471,NA,NA
"4",0.0237540029852051,NA,NA
"5",0.0165811435761919,NA,NA
"6",0.0162908510041067,NA,NA
"7",0.0150584141392884,NA,NA
"8",0.0219665128237356,NA,NA
"9",0.0210174909896332,NA,NA
"10",0.0191456738412132,NA,NA
"11",0.0203762436332795,NA,NA
"12",0.017626755980125,NA,NA
"13",0.017182872574008,NA,NA
"14",0.0180694218736444,NA,NA
"15",0.0175822957617717,NA,NA
"16",0.0195491271269789,NA,NA
"17",0.0248327474320409,NA,NA
"18",0.0192935118750757,NA,NA
"19",0.0239859345682866,NA,NA
"20",0.0192473902990301,NA,NA
