"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.107239358857088,0.10852283724229,0.00511371214558989
"2",0.112970365820194,NA,NA
"3",0.101069678215868,NA,NA
"4",0.115116334519131,NA,NA
"5",0.105718950941638,NA,NA
"6",0.111744666527457,NA,NA
"7",0.112164721432838,NA,NA
"8",0.103740665026214,NA,NA
"9",0.10520707119782,NA,NA
"10",0.111612243007894,NA,NA
"11",0.0982909109408269,NA,NA
"12",0.116550798182326,NA,NA
"13",0.101917615631845,NA,NA
"14",0.113413608156707,NA,NA
"15",0.109070794517645,NA,NA
"16",0.108588453496138,NA,NA
"17",0.103912673946232,NA,NA
"18",0.114695655747934,NA,NA
"19",0.107125402036406,NA,NA
"20",0.110306776643599,NA,NA
