,mens,womens,newbie,conversion,recency_1,recency_10,recency_11,recency_12,recency_2,recency_3,recency_4,recency_5,recency_6,recency_7,recency_8,recency_9,recency_1.1,recency_2.1,recency_3.1,recency_4.1,recency_5.1,recency_6.1,recency_7.1,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,1.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,1.0,0.0,0.0,,,,0.378378,45,76,47,101,0.371900826446281,0.31756756756756754,0.05433325887871343,0.32404474112128656,269
1,0.0,1.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,0.208704,208,870,111,880,0.19294990723562153,0.11200807265388496,0.08094183458173657,0.12776216541826343,2069
2,1.0,1.0,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,,,,0.331461,126,363,87,443,0.25766871165644173,0.1641509433962264,0.09351776826021532,0.23794323173978468,1019
3,1.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.226667,47,199,39,256,0.1910569105691057,0.13220338983050847,0.05885352073859723,0.16781347926140278,541
4,1.0,0.0,1.0,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,1.0,0.0,,,0.0,0.15625,26,155,10,152,0.143646408839779,0.06172839506172839,0.08191801377805061,0.07433198622194939,343
5,1.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.182114,116,484,71,554,0.19333333333333333,0.1136,0.07973333333333332,0.10238066666666668,1225
6,0.0,1.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,,,0.223256,36,166,30,176,0.1782178217821782,0.14563106796116504,0.03258675382101317,0.19066924617898684,408
7,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.210953,167,811,111,895,0.17075664621676892,0.110337972166998,0.060418674049770915,0.1505343259502291,1984
8,1.0,1.0,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.315436,49,97,29,115,0.3356164383561644,0.2013888888888889,0.1342275494672755,0.1812084505327245,290
9,0.0,1.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.227273,65,266,47,314,0.19637462235649547,0.13019390581717452,0.06618071653932095,0.16109228346067905,692
