"","mens","womens","newbie","segment","visit","conversion","recency_1","recency_10","recency_11","recency_12","recency_2","recency_3","recency_4","recency_5","recency_6","recency_7","recency_8","recency_9","recency_1.1","recency_2.1","recency_3.1","recency_4.1","recency_5.1","recency_6.1","recency_7.1","zip_code_Rural","zip_code_Surburban","zip_code_Urban","channel_Multichannel","channel_Phone","channel_Web","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,1,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,0,0,1,5,2,17,9,19,0.105263157894737,0.321428571428571,-0.216165413533835,-0.333333333333333,0.117167919799499,47
"2",1,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,6,5,38,10,45,0.116279069767442,0.181818181818182,-0.06553911205074,-0.0614478114478114,0.00409130060292852,98
"3",1,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,NA,NA,NA,0,NA,NA,11,58,430,58,431,0.118852459016393,0.118609406952965,0.000243052063428201,-0.0654384375314608,0.065681489594889,977
"4",1,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,NA,NA,12,3,22,5,30,0.12,0.142857142857143,-0.0228571428571429,0.0687830687830688,0.0916402116402116,60
"5",1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,0,NA,NA,13,4,63,5,65,0.0597014925373134,0.0714285714285714,-0.011727078891258,0.0684663536776213,0.0801934325688793,137
"6",1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,NA,NA,0,17,16,99,7,113,0.139130434782609,0.0583333333333333,0.0807971014492754,-0.11121841300499,0.192015514454265,235
"7",1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,0,NA,NA,0,18,25,134,22,154,0.157232704402516,0.125,0.0322327044025157,-0.0239026510212951,0.0561353554238108,335
"8",1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,19,74,563,65,533,0.116169544740973,0.108695652173913,0.00747389256706027,-0.00260782450632074,0.010081717073381,1235
"9",1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,1,21,94,531,81,504,0.1504,0.138461538461538,0.0119384615384615,0.0203900904270533,0.00845162888859177,1210
"10",1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,1,0,0,0,0,1,22,20,73,22,119,0.21505376344086,0.156028368794326,0.059025394646534,0.120030250648228,0.0610048560016942,234
"11",1,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,24,62,795,46,805,0.0723453908984831,0.0540540540540541,0.018291336844429,0.00549863988498495,0.0127926969594441,1708
"12",1,0,1,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,0,1,30,3,42,3,27,0.0666666666666667,0.1,-0.0333333333333333,-0.102564102564103,0.0692307692307692,75
"13",1,0,1,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,1,31,32,216,28,239,0.129032258064516,0.104868913857678,0.0241633442068382,-0.00622681505034448,0.0303901592571827,515
"14",1,0,1,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,1,32,7,72,2,62,0.0886075949367089,0.03125,0.0573575949367089,0.0540106951871658,0.00334689974954309,143
"15",1,0,1,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,1,33,6,35,1,28,0.146341463414634,0.0344827586206897,0.111858704793944,0.0769230769230769,0.0349356278708676,70
"16",1,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0,0,1,0,0,0,1,35,0,20,1,24,0,0.04,-0.04,-0.0263157894736842,0.0136842105263158,45
