"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.0464602662807857,0.0403478805457643,0.00689730680578269
"2",0.037295655890959,NA,NA
"3",0.0382995716588553,NA,NA
"4",0.0364947545646954,NA,NA
"5",0.0438294564139088,NA,NA
"6",0.0514147631151208,NA,NA
"7",0.0383035937944776,NA,NA
"8",0.0509667922573653,NA,NA
"9",0.0522559420333213,NA,NA
"10",0.0342772313388651,NA,NA
"11",0.0417096008288652,NA,NA
"12",0.0386748239645991,NA,NA
"13",0.0462088319102496,NA,NA
"14",0.0314655000829669,NA,NA
"15",0.0309681937507559,NA,NA
"16",0.0428603612543388,NA,NA
"17",0.0418139063371262,NA,NA
"18",0.0268389791502366,NA,NA
"19",0.0397564348806749,NA,NA
"20",0.0370629514071185,NA,NA
