"","bias","mean_bias","std_bias"
"1",0.00735105526408203,0.00799259977980857,0.00488313155735156
"2",0.00735134372903132,NA,NA
"3",0.000779796324954723,NA,NA
"4",0.000783959721969669,NA,NA
"5",0.00546889260123486,NA,NA
"6",0.00603548244627912,NA,NA
"7",0.00311372245019389,NA,NA
"8",0.0121639820574347,NA,NA
"9",0.0210771129969398,NA,NA
"10",0.011312395848053,NA,NA
"11",0.0114022487626694,NA,NA
"12",0.00310806267500834,NA,NA
"13",0.00734941311850943,NA,NA
"14",0.00730643389802847,NA,NA
"15",0.00913803664617895,NA,NA
"16",0.00910232742841152,NA,NA
"17",0.0050769011755026,NA,NA
"18",0.00509889525913867,NA,NA
"19",0.0134358912741622,NA,NA
"20",0.0133960419183887,NA,NA
