"","bias","mean_bias","std_bias"
"1",0.0156680413764319,0.0180425229820424,0.0069136043657925
"2",0.0198228774356609,NA,NA
"3",0.0149109990914707,NA,NA
"4",0.0118930325936798,NA,NA
"5",0.0156108075907375,NA,NA
"6",0.0161739041835565,NA,NA
"7",0.022296466819148,NA,NA
"8",0.0063156546135078,NA,NA
"9",0.0184755631614484,NA,NA
"10",0.0189391493940774,NA,NA
"11",0.00921758688683766,NA,NA
"12",0.0184350074631111,NA,NA
"13",0.0210304462930272,NA,NA
"14",0.0159249789971254,NA,NA
"15",0.0168174708011915,NA,NA
"16",0.021436450460038,NA,NA
"17",0.0133590290197718,NA,NA
"18",0.0224761192914944,NA,NA
"19",0.0410895508846505,NA,NA
"20",0.0209573232838821,NA,NA
