"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.120881981996236,0.113609932156407,0.00517312753455492
"2",0.10913030555727,NA,NA
"3",0.111624257706483,NA,NA
"4",0.113679426004665,NA,NA
"5",0.117137484627998,NA,NA
"6",0.110058744200939,NA,NA
"7",0.111735222810363,NA,NA
"8",0.116852736874124,NA,NA
"9",0.109231966362515,NA,NA
"10",0.11813622714167,NA,NA
"11",0.110096695229805,NA,NA
"12",0.120186660860449,NA,NA
"13",0.11835737468977,NA,NA
"14",0.108003775999861,NA,NA
"15",0.116821508706234,NA,NA
"16",0.10960061416343,NA,NA
"17",0.118154231301981,NA,NA
"18",0.106525972354663,NA,NA
"19",0.104468886160563,NA,NA
"20",0.121514570379112,NA,NA
