,mens,womens,newbie,conversion,recency_1,recency_10,recency_11,recency_12,recency_2,recency_3,recency_4,recency_5,recency_6,recency_7,recency_8,recency_9,recency_1.1,recency_2.1,recency_3.1,recency_4.1,recency_5.1,recency_6.1,recency_7.1,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.379562,44,102,39,111,0.3013698630136986,0.26,0.041369863013698605,0.3381921369863014,296
1,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,0.119089,83,487,46,550,0.1456140350877193,0.07718120805369127,0.06843282703402803,0.05065617296597197,1166
2,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,,,,0.16087,35,194,25,215,0.15283842794759825,0.10416666666666667,0.04867176128093158,0.11219823871906844,469
3,,1.0,1.0,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.122222,32,232,18,252,0.12121212121212122,0.06666666666666667,0.05454545454545455,0.06767654545454545,534
4,,1.0,,,,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,0.202652,470,2149,283,2311,0.17945780832378772,0.10909791827293755,0.07035989005085017,0.13229210994914983,5213
5,,1.0,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.242222,98,376,61,351,0.20675105485232068,0.14805825242718446,0.05869280242513622,0.18352919757486377,886
6,1.0,0.0,0.0,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.140984,45,288,43,286,0.13513513513513514,0.13069908814589665,0.004436046989238496,0.1365479530107615,662
7,0.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.159763,35,147,26,154,0.19230769230769232,0.14444444444444443,0.04786324786324789,0.1118997521367521,362
8,1.0,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.20354,24,75,14,84,0.24242424242424243,0.14285714285714285,0.09956709956709958,0.10397290043290042,197
9,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,,,,0.177215,52,253,28,279,0.17049180327868851,0.09120521172638436,0.07928659155230415,0.09792840844769586,612
