"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"4","1111",151,74,77,0.139347139347139,NA,NA,NA,NA,NA,151,17,62,10,64,0.0800547382825864,0.059292401064553,153
"22","11121",226,108,118,0.0803515379786566,NA,NA,NA,NA,NA,226,13,93,21,101,-0.0494896381070213,0.129841176085678,228
"45","1112211",31,12,19,0.56140350877193,NA,NA,NA,NA,NA,31,2,10,2,12,0.0238095238095238,0.537593984962406,26
"48","1112212",217,93,124,0.0161290322580645,NA,NA,NA,NA,NA,217,19,87,13,89,0.0517943026267111,0.0356652703686466,208
"70","1112221",445,237,208,-0.0761319376825706,NA,NA,NA,NA,NA,445,21,224,22,195,-0.015668202764977,0.0604637349175936,462
"116","11122221",532,264,268,0.0465852555404794,NA,NA,NA,NA,NA,532,29,234,23,222,0.0163886086754093,0.0301966468650701,508
"161","11122222",2890,1403,1487,-0.0139373740869431,NA,NA,NA,NA,NA,2890,53,1473,48,1350,0.000396559773651557,0.0143339338605947,2924
"229","1121",1331,651,680,0.0413775187494352,NA,NA,NA,NA,NA,1331,270,413,242,472,0.0563792134716258,0.0150016947221906,1397
"396","1122",649,325,324,0.186856600189934,NA,NA,NA,NA,NA,649,142,189,83,242,0.173618405763421,0.0132381944265127,656
"484","121",1045,520,525,0.0522893772893773,NA,NA,NA,NA,NA,1045,144,351,122,347,0.0307811591393681,0.0215082181500093,964
"613","12211",251,132,119,-0.0843519225872167,NA,NA,NA,NA,NA,251,45,88,43,82,-0.00565413533834586,0.0786977872488708,258
"642","12212",251,120,131,-0.341284987277354,NA,NA,NA,NA,NA,251,31,85,53,82,-0.125351213282248,0.215933773995106,251
"673","1222",1981,1017,964,-0.0650579158455632,NA,NA,NA,NA,NA,1981,232,749,302,682,-0.070417194997638,0.00535927915207479,1965
