"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.110585163919853,0.100285380639326,0.0121483289751328
"2",0.120061061198891,NA,NA
"3",0.0831566882473271,NA,NA
"4",0.108633057475567,NA,NA
"5",0.0846353604844327,NA,NA
"6",0.0846685155883297,NA,NA
"7",0.0948573060428139,NA,NA
"8",0.0759663434605935,NA,NA
"9",0.108183712284141,NA,NA
"10",0.108389158058579,NA,NA
"11",0.106999966071815,NA,NA
"12",0.0890589600391301,NA,NA
"13",0.0980189990976645,NA,NA
"14",0.106635211934,NA,NA
"15",0.0886536178567701,NA,NA
"16",0.111387196350014,NA,NA
"17",0.110387884416944,NA,NA
"18",0.103705385831905,NA,NA
"19",0.10061819499818,NA,NA
"20",0.111105829429568,NA,NA
