"","bias","mean_bias","std_bias"
"1",0.0239163964626569,0.0285850694836976,0.0090021649879912
"2",0.0508213586390852,NA,NA
"3",0.0280667845387984,NA,NA
"4",0.0208851336025719,NA,NA
"5",0.0315194250958508,NA,NA
"6",0.0342941763970844,NA,NA
"7",0.0281786097055901,NA,NA
"8",0.0326660026804564,NA,NA
"9",0.0181663001417013,NA,NA
"10",0.0163564189782143,NA,NA
"11",0.0175575494019611,NA,NA
"12",0.0350795030419973,NA,NA
"13",0.0264974982485207,NA,NA
"14",0.0410354089670729,NA,NA
"15",0.0124933030928683,NA,NA
"16",0.0279724396449495,NA,NA
"17",0.0349846705080763,NA,NA
"18",0.0332109177247895,NA,NA
"19",0.0301506783911819,NA,NA
"20",0.0278488144105245,NA,NA
