"","bias","mean_bias","std_bias"
"1",0.066663996261252,0.061244865621461,0.0284416683138412
"2",0.0255185809397282,NA,NA
"3",0.103635022470601,NA,NA
"4",0.019934898066992,NA,NA
"5",0.0763198468966768,NA,NA
"6",0.0946191595244366,NA,NA
"7",0.0423424887852403,NA,NA
"8",0.0952299454493173,NA,NA
"9",0.0363057369949852,NA,NA
"10",0.0765893526025479,NA,NA
"11",0.0648724709497505,NA,NA
"12",0.0602225129378743,NA,NA
"13",0.0661777384575419,NA,NA
"14",0.0950086789160999,NA,NA
"15",0.0455852623492911,NA,NA
"16",0.0203098060471872,NA,NA
"17",0.0183345659105926,NA,NA
"18",0.0617249453273261,NA,NA
"19",0.103864330071311,NA,NA
"20",0.0516379734704681,NA,NA
