"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.244129456902149,0.232487177703751,0.00637482540927413
"2",0.21939153500011,NA,NA
"3",0.230233037896621,NA,NA
"4",0.233842804665343,NA,NA
"5",0.236314156301225,NA,NA
"6",0.226201532670228,NA,NA
"7",0.227769169993706,NA,NA
"8",0.235877543489167,NA,NA
"9",0.230464681565919,NA,NA
"10",0.237369755042542,NA,NA
"11",0.224070212966287,NA,NA
"12",0.238303030840409,NA,NA
"13",0.226650910412126,NA,NA
"14",0.243187164831984,NA,NA
"15",0.232168284633967,NA,NA
"16",0.229952727006647,NA,NA
"17",0.240720408478887,NA,NA
"18",0.228775486773756,NA,NA
"19",0.232797535797532,NA,NA
"20",0.231524118806424,NA,NA
