"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.101843844453931,0.0797220144556445,0.0219211037886474
"2",0.0898269550284816,NA,NA
"3",0.107862198345995,NA,NA
"4",0.0777751299684241,NA,NA
"5",0.0961368066043379,NA,NA
"6",0.104521875545584,NA,NA
"7",0.0611472881802339,NA,NA
"8",0.0524900416862289,NA,NA
"9",0.110366114870745,NA,NA
"10",0.0543456561207024,NA,NA
"11",0.0660651546712432,NA,NA
"12",0.0480035666516457,NA,NA
"13",0.0747802291857113,NA,NA
"14",0.0582908437376526,NA,NA
"15",0.0890147892853543,NA,NA
"16",0.102674468814273,NA,NA
"17",0.0865646822838996,NA,NA
"18",0.0381573336035658,NA,NA
"19",0.084988121610801,NA,NA
"20",0.0895851884640798,NA,NA
