"","bias","mean_bias","std_bias"
"1",0.0188512282541661,0.0252479192806473,0.0160014115508329
"2",0.0320892164618156,NA,NA
"3",0.0210703914203161,NA,NA
"4",0.0171415265227198,NA,NA
"5",0.0264653972364136,NA,NA
"6",0.0252140694146111,NA,NA
"7",0.0723121759606633,NA,NA
"8",0.0524296359737387,NA,NA
"9",0.0463577668509928,NA,NA
"10",0.0218401448502171,NA,NA
"11",0.0188497825895467,NA,NA
"12",0.00333632913457887,NA,NA
"13",0.014660539033707,NA,NA
"14",0.0163719446332172,NA,NA
"15",0.0249405343083086,NA,NA
"16",0.020434848479902,NA,NA
"17",0.00543129984961643,NA,NA
"18",0.0171574342665643,NA,NA
"19",0.0183727660606986,NA,NA
"20",0.0316313543111522,NA,NA
