"","bias","mean_bias","std_bias"
"1",0.0272967435956775,0.031245396362957,0.017595740753046
"2",0.026012433463967,NA,NA
"3",0.0165943275884416,NA,NA
"4",0.034123268396289,NA,NA
"5",0.0170061412899173,NA,NA
"6",0.0248002286097468,NA,NA
"7",0.061588449569027,NA,NA
"8",0.0509706385941804,NA,NA
"9",0.0327752737977244,NA,NA
"10",0.0304229309850838,NA,NA
"11",0.0856613283179042,NA,NA
"12",0.0130232230768695,NA,NA
"13",0.0266140777071064,NA,NA
"14",0.0130627849287246,NA,NA
"15",0.0335998274280292,NA,NA
"16",0.0150823324904668,NA,NA
"17",0.03064713312861,NA,NA
"18",0.0195611464699536,NA,NA
"19",0.0315622138949999,NA,NA
"20",0.0345034239264213,NA,NA
