"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.22824188081648,0.218346826096197,0.00797385583843632
"2",0.203861480226607,NA,NA
"3",0.219491475319519,NA,NA
"4",0.206172523697831,NA,NA
"5",0.230734819024758,NA,NA
"6",0.216632284890102,NA,NA
"7",0.210864109785656,NA,NA
"8",0.22446385902709,NA,NA
"9",0.226011817741616,NA,NA
"10",0.214679099225074,NA,NA
"11",0.218478022589585,NA,NA
"12",0.215173540301847,NA,NA
"13",0.211697012155024,NA,NA
"14",0.222588592048356,NA,NA
"15",0.216726621128737,NA,NA
"16",0.225274547497482,NA,NA
"17",0.211678445569175,NA,NA
"18",0.22109423421627,NA,NA
"19",0.210730701932322,NA,NA
"20",0.232341454730397,NA,NA
