"","keys","phi"
"1","1 0 1 1 0 1 0 0",0.442307692307692
"2","0 0 1 1 0 1 1 0",0.514285714285714
"3","0 1 0 1 1 0 1 0",0.421052631578947
"4","1 0 1 1 1 0 1 1",0.239130434782609
"5","0 1 0 1 0 0 0 1",0.219512195121951
"6","1 0 0 1 0 1 0 1",0.478260869565217
"8","1 0 1 1 1 1 0 0",0.652173913043478
"9","0 1 1 1 1 1 1 0",0.289473684210526
"10","1 1 0 0 1 1 1 1",0.0571428571428571
"11","0 1 1 0 0 0 0 1",0.357142857142857
"12","1 1 1 1 1 1 1 1",0
"14","1 0 1 1 1 0 0 0",0.621621621621622
"15","1 1 0 0 1 0 0 0",0.256410256410256
"16","1 1 0 1 1 0 1 1",0.2
"17","1 0 0 1 1 1 0 1",0.195652173913043
"18","0 1 1 1 0 1 0 0",0.5
"19","1 1 1 1 1 0 1 0",0.48936170212766
"20","0 0 0 1 0 1 0 1",0.244897959183673
"21","1 1 0 0 0 1 0 0",0.3125
"22","0 0 0 0 0 0 1 1",-0.0217391304347826
"23","1 0 0 0 0 0 1 0",0.111111111111111
"24","0 0 0 1 1 1 1 1",0
"25","0 0 1 0 1 1 1 1",0.0833333333333333
"26","1 0 0 0 1 1 0 0",0.25
"27","0 1 0 1 1 0 0 1",0.53125
"28","0 1 1 1 0 1 1 0",0.58974358974359
"29","1 0 0 1 0 1 0 0",0.297297297297297
"30","1 1 1 0 0 1 0 0",0.439024390243902
"31","1 0 0 1 1 0 1 0",0.511111111111111
"32","1 0 0 0 0 1 1 0",0.192307692307692
"33","1 1 0 0 1 0 0 1",0.447368421052632
"34","1 1 1 0 0 0 0 0",0.25
"35","1 1 1 0 1 0 0 1",0.377777777777778
"36","0 0 1 0 1 1 1 0",0.189189189189189
"37","0 0 1 0 1 0 1 0",0.162162162162162
"38","0 0 0 0 1 1 1 0",0
"39","0 1 1 1 0 0 0 0",0.2
"41","0 1 1 1 1 0 1 0",0.565217391304348
"42","0 1 0 0 1 1 1 1",0
"43","0 1 0 1 1 1 0 0",0.441176470588235
"44","0 0 0 1 1 0 1 0",0.189189189189189
"45","0 0 0 0 0 1 1 0",0
"47","0 1 1 1 1 0 0 0",0.6
"49","1 0 0 0 1 1 0 1",0.292682926829268
"50","0 1 0 0 0 0 1 0",0.157894736842105
"51","1 1 1 1 1 1 0 0",0.5
"52","1 0 0 0 0 1 0 1",0.25
"54","0 0 1 0 0 1 1 1",0.217391304347826
"55","1 0 0 0 1 1 1 0",0.204545454545455
"56","0 1 1 0 0 1 1 0",0.485714285714286
"57","0 1 1 0 1 1 0 0",0.512820512820513
"59","0 0 1 1 0 0 1 0",0.357142857142857
"60","0 0 1 1 1 0 0 1",0.590909090909091
"62","1 1 0 0 0 0 0 1",0.326530612244898
"63","0 0 0 0 1 0 1 0",0
"65","0 0 0 0 0 0 1 0",0
"66","0 0 1 0 1 1 0 1",0.170731707317073
"70","1 0 1 0 0 0 0 0",0.186046511627907
"72","0 0 0 0 0 1 1 1",0
"73","0 0 1 1 0 1 0 1",0.475
"74","1 1 1 0 1 1 1 0",0.222222222222222
"78","0 0 0 1 0 1 0 0",0.125
"79","0 0 1 0 0 0 1 1",0.19047619047619
"80","0 1 0 0 1 1 0 1",0.2
"81","1 0 0 0 1 0 0 1",0.142857142857143
"82","0 1 1 0 0 1 1 1",0.193548387096774
"83","1 1 0 1 1 1 0 0",0.55
"84","1 0 1 1 0 1 0 1",0.564102564102564
"85","1 1 0 1 0 0 0 0",0.13953488372093
"86","0 1 1 1 0 1 1 1",0.15
"87","1 0 1 1 0 0 0 0",0.340909090909091
"89","0 0 0 1 0 0 1 0",0.205882352941176
"91","1 0 0 0 0 0 0 0",0.024390243902439
"92","1 0 0 1 0 0 0 1",0.238095238095238
"93","1 0 0 1 1 0 0 0",0.333333333333333
"94","0 0 0 1 1 0 1 1",0.0882352941176471
"95","0 1 0 0 0 1 1 0",0.0344827586206897
"96","0 0 0 0 1 0 1 1",0
"97","1 0 0 0 1 0 0 0",0.131578947368421
"98","0 0 1 0 0 1 1 0",0.25
"99","1 0 1 0 0 1 1 0",0.580645161290323
"101","0 1 1 1 0 1 0 1",0.411764705882353
"102","1 0 0 0 1 1 1 1",0.0697674418604651
"103","0 0 0 0 1 1 0 0",0
"104","0 0 1 0 1 0 0 0",0.0975609756097561
"105","1 0 1 1 1 0 0 1",0.588235294117647
"106","0 1 0 1 1 1 1 1",0
"108","1 1 1 0 1 1 0 0",0.560975609756098
"109","1 0 1 1 0 1 1 1",0.341463414634146
"110","0 1 1 1 1 0 0 1",0.475
"111","0 1 1 0 1 1 0 1",0.36
"112","1 0 1 1 1 0 1 0",0.571428571428571
"113","0 1 0 1 0 0 0 0",0.138888888888889
"114","1 1 1 1 0 0 1 1",0.512820512820513
"115","1 1 1 1 1 1 0 1",0.163265306122449
"118","1 1 1 0 0 1 0 1",0.666666666666667
"119","1 1 1 0 0 1 1 0",0.621621621621622
"120","0 1 1 0 0 0 0 0",0.0566037735849057
"121","1 0 1 0 0 1 0 1",0.552631578947368
"122","1 0 0 1 1 1 1 0",0.0952380952380952
"124","1 0 1 0 1 0 1 0",0.473684210526316
"125","0 0 0 1 1 0 0 1",0.195121951219512
"126","0 1 0 0 1 1 0 0",0.261904761904762
"127","1 0 0 0 0 1 0 0",0.0857142857142857
"129","1 0 0 0 0 0 1 1",0.25
"130","1 0 0 1 0 0 1 1",0.390243902439024
"132","1 0 0 1 1 1 0 0",0.441860465116279
"136","0 1 0 1 0 1 1 0",0.435897435897436
"137","0 1 0 1 0 1 0 1",0.432432432432432
"138","0 1 0 0 0 1 0 0",0.108695652173913
"139","1 0 0 1 0 1 1 0",0.428571428571429
"140","1 0 0 1 0 0 0 0",0.172413793103448
"141","1 0 1 0 1 0 0 0",0.195652173913043
"142","1 1 1 1 0 0 0 0",0.558139534883721
"143","1 1 0 1 0 0 0 1",0.666666666666667
"146","0 0 0 0 1 0 0 0",0
"147","1 0 1 0 1 1 1 0",0.294117647058824
"150","0 1 1 1 0 0 0 1",0.564102564102564
"152","1 1 1 1 1 1 1 0",0.172413793103448
"155","0 0 0 0 0 1 0 0",0
"156","1 0 0 0 1 0 1 0",0.228571428571429
"157","0 0 1 1 1 1 0 0",0.558823529411765
"160","1 1 0 0 0 0 1 1",0.514285714285714
"161","0 1 1 1 0 0 1 1",0.675675675675676
"163","0 0 0 0 0 0 0 1",0
"166","0 1 0 0 0 0 0 1",0.0714285714285714
"168","0 0 1 0 0 0 0 1",0.0526315789473684
"173","1 1 0 1 0 1 1 0",0.461538461538462
"174","0 1 0 1 1 0 0 0",0.319148936170213
"175","0 1 1 0 0 0 1 0",0.354166666666667
"176","1 1 0 1 0 1 0 1",0.46875
"179","0 1 0 1 1 1 0 1",0.186046511627907
"189","0 0 1 1 0 1 0 0",0.290322580645161
"190","1 0 1 0 0 0 1 1",0.551724137931034
"194","1 1 0 1 0 0 1 0",0.486486486486487
"197","1 1 0 1 1 0 0 1",0.567567567567568
"202","1 1 0 1 1 0 1 0",0.742857142857143
"204","0 1 0 0 0 0 0 0",0.0227272727272727
