"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","w","y","CATE"
"1",0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0.55435535244426
"2",0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0.241362469736172
"3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0.23480043015445
"4",0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0.15256612366439
"5",1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0.23480043015445
"6",1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0.23480043015445
"7",1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0.490361445783133
"8",0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0.241362469736172
"9",0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0.233472729810342
"10",0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0.16551724137931
"11",1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0.38362760834671
"12",0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,-0.00319488817891375
"13",1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0.126955240695004
"14",1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0.126955240695004
"15",0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0.241362469736172
"16",1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0.512918030841057
"17",1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0.23480043015445
"18",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0.233472729810342
"19",1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0.512918030841057
"20",1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0.512918030841057
"21",0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0.16551724137931
"22",1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.229461015175301
"23",0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0.233472729810342
"24",0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.485007934519335
"25",0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0.233472729810342
"26",0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0.15256612366439
"27",1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0.23480043015445
"28",1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0.23480043015445
"29",0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0.241362469736172
"30",1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0.512918030841057
"31",1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0.38362760834671
"32",0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0.233472729810342
