,0
0,0.910345
1,0.359551
2,0.628362
3,0.561404
4,0.628362
5,0.628362
6,0.942675
7,0.706667
8,0.363636
9,0.910345
10,0.628362
11,0.335443
12,0.942675
13,0.942675
14,0.359551
15,0.87931
16,0.628362
17,0.477124
18,0.631229
19,0.631229
20,0.386503
21,0.942675
22,0.363636
23,0.8
24,0.363636
25,0.561404
26,0.628362
27,0.628362
28,0.456522
29,0.631229
30,0.628362
31,0.363636
32,0.365854
33,0.666667
34,0.7875
35,0.628362
36,0.456522
37,0.910345
38,0.628362
39,0.706667
40,0.628362
41,0.7875
42,0.706667
43,0.363636
44,0.628362
45,0.628362
46,0.942675
47,0.363636
48,0.628362
49,0.477124
50,0.910345
51,0.628362
52,0.628362
53,0.359551
54,0.628362
55,0.628362
56,0.561404
57,0.503226
58,0.363636
59,0.628362
60,0.87931
61,0.631229
62,0.87931
63,0.628362
64,0.365854
65,0.87931
66,0.628362
67,0.628362
68,0.628362
69,0.628362
70,0.335443
71,0.628362
72,0.631229
73,0.628362
74,0.942675
75,0.910345
76,0.359551
77,0.386503
78,0.706667
79,0.126506
80,0.628362
81,0.561404
82,0.903448
83,0.126506
84,0.8
85,0.8
86,0.8
87,0.628362
88,0.791667
89,0.706667
90,0.942675
91,0.386503
92,0.666667
93,0.628362
94,0.791667
95,0.666667
96,0.126506
97,0.942675
98,0.8
99,0.628362
100,0.628362
101,0.628362
102,0.365854
103,0.910345
104,0.456522
105,0.628362
106,0.628362
107,0.503226
108,0.716216
109,0.561404
110,0.910345
111,0.706667
112,0.666667
113,0.631229
114,0.942675
115,0.631229
116,0.363636
117,0.910345
118,0.631229
119,0.386503
120,0.628362
121,0.363636
122,0.631229
123,0.706667
124,0.628362
125,0.942675
126,0.628362
127,0.628362
128,0.759494
129,0.628362
130,0.477124
131,0.7875
132,0.456522
133,0.628362
134,0.666667
135,0.126506
136,0.628362
137,0.706667
138,0.7875
139,0.365854
140,0.126506
141,0.628362
142,0.363636
143,0.628362
144,0.365854
145,0.759494
146,0.365854
147,0.456522
148,0.628362
149,0.87931
150,0.628362
151,0.359551
152,0.335443
153,0.8
154,0.631229
155,0.942675
156,0.628362
157,0.666667
158,0.631229
159,0.942675
160,0.561404
161,0.942675
162,0.631229
163,0.942675
164,0.628362
165,0.628362
166,0.942675
167,0.386503
168,0.628362
169,0.628362
170,0.666667
171,0.942675
172,0.456522
173,0.628362
174,0.628362
175,0.903448
176,0.628362
177,0.759494
178,0.628362
179,0.386503
180,0.631229
181,0.628362
182,0.942675
183,0.628362
184,0.706667
185,0.759494
186,0.456522
187,0.386503
188,0.7875
189,0.386503
190,0.628362
191,0.628362
192,0.942675
193,0.628362
194,0.477124
195,0.910345
196,0.628362
197,0.126506
198,0.359551
199,0.759494
200,0.942675
201,0.942675
202,0.942675
203,0.631229
204,0.359551
205,0.628362
206,0.716216
207,0.365854
208,0.628362
209,0.706667
210,0.706667
211,0.477124
212,0.628362
213,0.942675
214,0.477124
215,0.628362
216,0.631229
217,0.628362
218,0.87931
219,0.910345
220,0.335443
221,0.359551
222,0.561404
223,0.759494
224,0.628362
225,0.456522
226,0.126506
227,0.363636
228,0.903448
229,0.628362
230,0.942675
231,0.628362
232,0.561404
233,0.7875
234,0.942675
235,0.628362
236,0.942675
237,0.359551
238,0.942675
239,0.628362
240,0.503226
241,0.126506
242,0.631229
243,0.8
244,0.359551
245,0.8
246,0.365854
247,0.759494
248,0.7875
249,0.942675
250,0.359551
251,0.628362
252,0.335443
253,0.910345
254,0.7875
255,0.910345
256,0.759494
257,0.561404
258,0.631229
259,0.942675
260,0.359551
261,0.628362
262,0.386503
263,0.561404
264,0.335443
265,0.628362
266,0.910345
267,0.456522
268,0.910345
269,0.791667
270,0.628362
271,0.628362
272,0.456522
273,0.628362
274,0.628362
275,0.628362
276,0.8
277,0.477124
278,0.386503
279,0.8
280,0.631229
281,0.87931
282,0.628362
283,0.628362
284,0.759494
285,0.477124
286,0.363636
287,0.8
288,0.456522
289,0.126506
290,0.628362
291,0.7875
292,0.628362
293,0.903448
294,0.628362
295,0.503226
296,0.716216
297,0.631229
298,0.628362
299,0.666667
300,0.791667
301,0.87931
302,0.706667
303,0.628362
304,0.456522
305,0.666667
306,0.628362
307,0.628362
308,0.942675
309,0.628362
310,0.87931
311,0.628362
312,0.87931
313,0.942675
314,0.87931
315,0.716216
316,0.628362
317,0.477124
318,0.477124
319,0.87931
320,0.628362
321,0.666667
322,0.628362
323,0.477124
324,0.631229
325,0.561404
326,0.631229
327,0.126506
328,0.628362
329,0.628362
330,0.561404
331,0.631229
332,0.628362
333,0.386503
334,0.631229
335,0.126506
336,0.628362
337,0.791667
338,0.910345
339,0.126506
340,0.628362
341,0.628362
342,0.631229
343,0.561404
344,0.716216
345,0.903448
346,0.628362
347,0.759494
348,0.903448
349,0.503226
350,0.87931
351,0.126506
352,0.716216
353,0.359551
354,0.628362
355,0.628362
356,0.7875
357,0.359551
358,0.359551
359,0.628362
360,0.666667
361,0.910345
362,0.910345
363,0.8
364,0.628362
365,0.706667
366,0.365854
367,0.791667
368,0.942675
369,0.477124
370,0.628362
371,0.628362
372,0.903448
373,0.631229
374,0.126506
375,0.628362
376,0.87931
377,0.942675
378,0.706667
379,0.628362
380,0.335443
381,0.716216
382,0.910345
383,0.628362
384,0.628362
385,0.666667
386,0.8
387,0.942675
388,0.631229
389,0.628362
390,0.628362
391,0.335443
392,0.87931
393,0.628362
394,0.365854
395,0.631229
396,0.942675
397,0.126506
398,0.477124
399,0.942675
400,0.477124
401,0.791667
402,0.666667
403,0.942675
404,0.628362
405,0.363636
406,0.456522
407,0.628362
408,0.631229
409,0.942675
410,0.910345
411,0.628362
412,0.503226
413,0.363636
414,0.903448
415,0.456522
416,0.631229
417,0.7875
418,0.8
419,0.7875
420,0.386503
421,0.628362
422,0.716216
423,0.628362
424,0.631229
425,0.363636
426,0.628362
427,0.791667
428,0.126506
429,0.359551
430,0.666667
431,0.903448
432,0.628362
433,0.335443
434,0.7875
435,0.942675
436,0.942675
437,0.631229
438,0.126506
439,0.628362
440,0.942675
441,0.456522
442,0.359551
443,0.628362
444,0.628362
445,0.666667
446,0.477124
447,0.477124
448,0.126506
449,0.365854
450,0.628362
451,0.666667
452,0.910345
453,0.363636
454,0.7875
455,0.8
456,0.716216
457,0.759494
458,0.628362
459,0.87931
460,0.456522
461,0.716216
462,0.503226
463,0.628362
