"","keys","phi"
"1","1 1 1 0 0 0 0 0",0.216049382716049
"2","1 1 1 0 1 1 0 1",0.248484848484848
"3","0 0 0 0 1 0 1 1",0
"4","1 1 0 1 1 0 1 1",0.234285714285714
"5","0 1 0 1 1 1 0 1",0.182795698924731
"6","1 1 0 1 1 1 1 1",0.0609756097560976
"7","0 0 0 1 1 1 1 0",0.205128205128205
"8","1 0 1 0 0 1 1 1",0.261904761904762
"9","0 1 1 0 1 1 1 1",0.0434782608695652
"10","0 1 0 0 1 0 1 1",0.263803680981595
"11","1 0 0 0 0 0 0 0",0.0137931034482759
"12","0 0 0 0 1 0 0 1",0
"13","1 1 0 0 0 1 0 1",0.419161676646707
"14","0 0 0 1 1 1 0 0",0.217687074829932
"15","0 0 1 0 1 1 0 1",0.206896551724138
"16","0 1 0 0 1 0 0 1",0.267080745341615
"17","0 1 1 0 0 1 0 0",0.304347826086957
"19","1 1 0 1 0 0 0 1",0.509803921568627
"20","1 0 0 1 0 1 1 0",0.47752808988764
"21","1 1 1 0 1 0 0 1",0.60958904109589
"22","1 0 1 1 1 0 0 0",0.57051282051282
"23","0 0 1 1 1 1 1 0",0.25
"24","0 1 1 1 0 1 0 1",0.590909090909091
"25","1 0 0 0 0 1 1 1",0.266233766233766
"26","0 1 0 1 1 0 1 0",0.470588235294118
"27","1 0 0 1 1 0 1 1",0.289156626506024
"28","0 0 0 0 0 0 0 0",0
"29","0 1 1 1 1 1 1 0",0.21875
"30","1 1 1 0 0 1 0 1",0.615819209039548
"31","0 1 0 0 0 1 0 1",0.226277372262774
"32","0 0 1 0 1 0 0 0",0.069620253164557
"33","1 1 1 1 1 1 1 0",0.232876712328767
"34","0 0 0 0 1 1 1 1",0
"35","0 0 0 0 0 1 1 1",0
"36","1 1 0 0 1 1 0 0",0.396946564885496
"37","1 1 0 0 1 0 1 1",0.242236024844721
"38","1 1 1 1 1 0 1 1",0.234848484848485
"39","0 0 0 0 1 1 1 0",0
"40","1 0 0 1 1 1 1 0",0.233333333333333
"41","0 1 0 0 1 1 1 0",0.191011235955056
"42","1 0 0 1 1 1 0 1",0.243055555555556
"43","0 0 1 1 1 1 0 1",0.235714285714286
"44","0 1 0 0 0 1 0 0",0.116438356164384
"45","0 0 1 1 0 0 0 1",0.333333333333333
"46","1 0 0 1 1 1 0 0",0.449664429530201
"47","1 1 0 0 0 0 1 0",0.340425531914894
"48","0 1 1 0 1 1 0 0",0.445205479452055
"49","1 1 0 0 1 0 0 1",0.398692810457516
"50","0 0 0 0 1 1 0 1",0
"51","1 1 1 1 1 0 0 0",0.757396449704142
"52","1 1 1 0 0 1 0 0",0.632258064516129
"53","0 0 1 0 0 1 1 0",0.258278145695364
"55","1 1 1 0 1 0 1 1",0.194444444444444
"57","1 0 0 1 0 1 0 0",0.341614906832298
"58","1 0 1 1 1 0 1 0",0.545454545454545
"59","0 0 0 0 0 0 1 1",0
"60","1 1 0 0 1 1 1 1",0.064327485380117
"61","0 0 1 1 1 0 0 0",0.344155844155844
"64","0 0 0 1 1 0 0 1",0.24
"65","0 1 1 0 0 0 1 0",0.298387096774194
"66","0 0 0 0 0 1 1 0",0.00704225352112676
"67","1 1 0 1 1 1 1 0",0.220125786163522
"68","1 0 0 1 1 0 1 0",0.38961038961039
"69","1 1 0 1 0 0 0 0",0.333333333333333
"70","1 1 1 1 1 1 0 0",0.6
"71","0 0 1 1 1 0 0 1",0.482269503546099
"72","0 0 1 0 1 1 1 0",0.181818181818182
"73","0 1 0 0 1 1 0 1",0.208860759493671
"76","1 1 1 0 0 1 1 1",0.210526315789474
"78","1 1 1 0 1 1 1 0",0.26219512195122
"79","0 1 0 1 0 1 0 1",0.466666666666667
"80","1 1 1 0 0 0 0 1",0.572327044025157
"81","1 0 0 1 1 1 1 1",0.0481283422459893
"82","0 1 0 1 0 1 1 1",0.284883720930233
"83","1 1 1 1 0 0 0 1",0.783216783216783
"84","1 1 0 1 0 1 1 1",0.261437908496732
"86","1 0 1 1 0 0 0 1",0.572254335260116
"87","0 1 1 1 0 1 1 0",0.560509554140127
"88","1 1 0 1 1 1 0 1",0.242937853107345
"89","0 1 1 1 1 0 0 0",0.596273291925466
"90","1 1 1 1 0 0 0 0",0.583333333333333
"91","1 0 1 1 1 1 0 0",0.563636363636364
"92","1 0 0 1 0 0 0 1",0.337579617834395
"93","1 1 1 1 0 1 1 1",0.164383561643836
"96","0 0 1 0 0 1 0 1",0.282485875706215
"98","0 1 1 1 0 1 1 1",0.224806201550388
"99","1 0 0 0 0 1 1 0",0.256756756756757
"100","1 1 0 0 0 1 1 1",0.225
"101","0 1 0 0 0 0 1 0",0.105590062111801
"103","0 0 0 1 0 0 1 0",0.0609756097560976
"105","0 0 1 0 0 0 0 0",0.0235294117647059
"108","0 0 0 0 0 1 0 0",0
"109","1 0 1 0 0 0 1 1",0.519337016574586
"113","1 0 0 0 1 0 0 1",0.181818181818182
"114","0 0 1 0 0 0 1 1",0.223684210526316
"115","0 1 1 0 0 1 1 1",0.276119402985075
"116","0 0 0 1 1 0 1 0",0.232954545454545
"118","1 1 1 0 0 1 1 0",0.614035087719298
"119","1 1 0 1 0 1 0 0",0.56969696969697
"120","0 0 1 0 0 0 1 0",0.15819209039548
"122","1 1 1 0 1 0 0 0",0.577639751552795
"126","0 0 1 1 1 0 1 1",0.229299363057325
"127","0 1 0 0 0 0 0 1",0.10738255033557
"129","1 0 1 0 0 1 0 1",0.447761194029851
"130","0 1 1 0 1 0 1 1",0.232704402515723
"133","0 0 1 0 1 0 1 0",0.181818181818182
"134","0 0 0 1 1 1 0 1",0.181159420289855
"135","0 1 1 1 1 1 1 1",0.0204081632653061
"136","1 1 0 1 1 0 1 0",0.544827586206897
"137","0 1 0 0 0 0 1 1",0.294797687861272
"138","0 0 1 1 0 1 1 0",0.339080459770115
