"","keys","case_number","accumulated_causal_effect","phi"
"1","0 1 0 0 0 1 0 1",18,2,0.111111111111111
"2","1 0 0 0 0 1 1 0",16,3,0.1875
"3","0 1 0 1 1 0 1 1",21,6,0.285714285714286
"4","0 0 1 1 1 0 1 0",16,7,0.4375
"5","1 1 1 1 0 0 0 0",23,9,0.391304347826087
"6","1 1 1 0 0 0 0 0",24,3,0.125
"7","1 1 1 1 0 0 1 0",20,14,0.7
"8","1 0 1 0 1 0 1 1",19,5,0.263157894736842
"9","1 1 1 0 1 0 1 0",20,11,0.55
"10","1 1 1 1 1 1 0 0",28,13,0.464285714285714
"11","1 1 0 0 0 1 0 1",24,6,0.25
"12","0 1 0 0 1 0 1 1",16,2,0.125
"13","1 0 1 1 1 1 0 1",21,5,0.238095238095238
"14","1 0 0 0 1 1 1 1",22,2,0.0909090909090909
"15","0 1 0 1 1 0 1 0",21,10,0.476190476190476
"16","1 0 1 0 1 1 0 0",25,14,0.56
"17","0 0 0 0 1 1 1 0",21,0,0
"18","1 1 1 1 0 0 0 1",21,17,0.80952380952381
"19","1 1 0 0 1 0 1 1",27,6,0.222222222222222
"20","0 0 0 1 0 1 0 1",22,2,0.0909090909090909
"21","1 0 1 1 0 0 0 1",16,10,0.625
"22","1 1 0 1 0 1 0 0",25,13,0.52
"23","0 0 1 1 1 0 0 0",20,9,0.45
"24","0 0 1 1 0 0 0 1",15,4,0.266666666666667
"26","1 0 1 1 1 1 1 1",14,0,0
"27","0 1 0 1 1 1 1 1",15,1,0.0666666666666667
"28","0 1 1 0 1 1 0 0",18,12,0.666666666666667
"29","0 1 1 1 1 0 0 1",15,8,0.533333333333333
"30","0 1 1 1 0 0 0 0",16,2,0.125
"32","0 1 1 1 1 0 1 0",15,6,0.4
"36","1 1 0 1 0 0 1 0",23,19,0.826086956521739
"37","0 1 1 0 1 1 0 1",19,7,0.368421052631579
"38","1 0 1 0 0 0 0 0",19,1,0.0526315789473684
"40","0 0 1 1 0 1 1 0",18,9,0.5
"42","1 1 1 0 0 1 0 0",20,13,0.65
"43","0 0 1 1 0 0 1 1",22,9,0.409090909090909
"44","1 1 0 1 1 1 0 1",24,4,0.166666666666667
"45","1 0 0 1 0 0 0 1",17,2,0.117647058823529
"46","1 1 1 0 1 1 0 1",15,2,0.133333333333333
"47","0 0 0 1 0 1 0 0",17,2,0.117647058823529
"48","1 0 0 1 0 1 1 0",20,14,0.7
"49","1 0 0 1 1 1 0 0",24,11,0.458333333333333
"50","0 1 1 0 1 1 1 0",27,8,0.296296296296296
"53","0 1 0 0 1 0 0 0",26,0,0
"54","1 0 1 0 1 1 1 1",23,2,0.0869565217391304
"55","1 1 0 1 1 1 0 0",17,13,0.764705882352941
"56","1 1 0 1 1 0 1 1",14,2,0.142857142857143
