"","X1","X2","X3","X4","X5","X6","X7","X8","n11","n12","n21","n22","pi_1","pi_2","phi","z_significant","index"
"1",1,1,1,1,1,1,0,0,15,1,8,12,0.9375,0.4,0.5375,2.98717996564606,"4"
"2",1,1,1,1,1,0,1,0,20,0,13,13,1,0.5,0.5,3.40327422005497,"6"
"3",1,1,1,1,1,0,0,1,19,0,5,9,1,0.357142857142857,0.642857142857143,3.70269346689332,"7"
"4",1,1,1,1,1,0,0,0,19,3,1,19,0.863636363636364,0.05,0.813636363636364,4.96365821673511,"8"
"5",1,1,1,1,0,1,1,1,19,1,14,8,0.95,0.636363636363636,0.313636363636364,2.09751919582623,"9"
"6",1,1,1,1,0,1,1,0,11,0,7,14,1,0.333333333333333,0.666666666666667,3.23554776288532,"10"
"7",1,1,1,1,0,1,0,1,17,1,7,10,0.944444444444444,0.411764705882353,0.532679738562091,3.02854714614108,"11"
"8",1,1,1,1,0,1,0,0,13,1,0,17,0.928571428571429,0,0.928571428571429,4.84837570012278,"12"
"9",1,1,1,1,0,0,1,1,20,1,8,10,0.952380952380952,0.444444444444444,0.507936507936508,3.15718582858457,"13"
"10",1,1,1,1,0,0,1,0,16,5,3,19,0.761904761904762,0.136363636363636,0.625541125541126,3.82168251225827,"14"
"11",1,1,1,1,0,0,0,1,14,2,1,16,0.875,0.0588235294117647,0.816176470588235,4.35614635077975,"15"
"12",1,1,1,1,0,0,0,0,18,11,0,14,0.620689655172414,0,0.620689655172414,3.53619237892641,"16"
"13",1,1,1,0,1,1,1,0,21,0,18,6,1,0.75,0.25,2.02173118342226,"18"
"14",1,1,1,0,1,1,0,0,19,2,5,15,0.904761904761905,0.25,0.654761904761905,3.93663353960166,"20"
"15",1,1,1,0,1,0,1,0,20,4,5,12,0.833333333333333,0.294117647058824,0.53921568627451,3.16209381837043,"22"
"16",1,1,1,0,1,0,0,1,16,3,10,15,0.842105263157895,0.4,0.442105263157895,2.64493166599229,"23"
"17",1,1,1,0,1,0,0,0,8,7,1,12,0.533333333333333,0.0769230769230769,0.456410256410256,2.17332621311436,"24"
"18",1,1,1,0,0,1,1,0,16,1,5,15,0.941176470588235,0.25,0.691176470588235,3.89627557069943,"26"
"19",1,1,1,0,0,1,0,1,10,0,5,15,1,0.25,0.75,3.48568501158668,"27"
"20",1,1,1,0,0,1,0,0,10,9,1,20,0.526315789473684,0.0476190476190476,0.478696741854637,3.03140747152157,"28"
"21",1,1,1,0,0,0,1,1,11,3,5,15,0.785714285714286,0.25,0.535714285714286,2.73096314918789,"29"
"22",1,1,1,0,0,0,1,0,10,9,0,17,0.526315789473684,0,0.526315789473684,3.14707362452645,"30"
"23",1,1,1,0,0,0,0,1,15,10,2,27,0.6,0.0689655172413793,0.531034482758621,3.89570067451398,"31"
"24",1,1,0,1,1,1,1,0,16,0,10,5,1,0.666666666666667,0.333333333333333,2.03312117955847,"34"
"25",1,1,0,1,1,1,0,0,17,3,5,15,0.85,0.25,0.6,3.4960294939005,"36"
"26",1,1,0,1,1,0,1,0,17,1,1,16,0.944444444444444,0.0588235294117647,0.88562091503268,4.90106609482272,"38"
"27",1,1,0,1,1,0,0,1,17,2,5,13,0.894736842105263,0.277777777777778,0.616959064327485,3.48547179664736,"39"
"28",1,1,0,1,1,0,0,0,9,9,0,16,0.5,0,0.5,2.9090800802969,"40"
"29",1,1,0,1,0,1,1,0,17,6,4,12,0.739130434782609,0.25,0.489130434782609,2.68743229006139,"42"
"30",1,1,0,1,0,1,0,1,14,3,4,11,0.823529411764706,0.266666666666667,0.556862745098039,2.81174009341923,"43"
"31",1,1,0,1,0,1,0,0,16,9,0,14,0.64,0,0.64,3.55850585183101,"44"
"32",1,1,0,1,0,0,1,1,11,4,6,17,0.733333333333333,0.260869565217391,0.472463768115942,2.52935993353358,"45"
"33",1,1,0,1,0,0,1,0,12,11,1,14,0.521739130434783,0.0666666666666667,0.455072463768116,2.54050267588008,"46"
"34",1,1,0,1,0,0,0,1,13,4,1,12,0.764705882352941,0.0769230769230769,0.687782805429864,3.37257059010806,"47"
"35",1,1,0,0,1,1,1,0,15,0,12,8,1,0.6,0.4,2.38215701999285,"50"
"36",1,1,0,0,1,1,0,1,16,0,12,7,1,0.631578947368421,0.368421052631579,2.29034551231675,"51"
"37",1,1,0,0,1,0,0,0,5,14,0,20,0.263157894736842,0,0.263157894736842,1.97793458744169,"56"
"38",1,1,0,0,0,1,1,0,16,8,3,17,0.666666666666667,0.15,0.516666666666667,3.13954963805711,"58"
"39",1,1,0,0,0,1,0,1,10,2,5,14,0.833333333333333,0.263157894736842,0.570175438596491,2.72529355546339,"59"
"40",1,1,0,0,0,0,1,0,4,9,0,24,0.307692307692308,0,0.307692307692308,2.32294165555669,"62"
"41",1,1,0,0,0,0,0,1,9,14,0,26,0.391304347826087,0,0.391304347826087,3.16067779193358,"63"
"42",1,0,1,1,1,1,0,0,22,2,5,16,0.916666666666667,0.238095238095238,0.678571428571429,4.33055657370912,"68"
"43",1,0,1,1,1,0,1,0,13,3,6,13,0.8125,0.315789473684211,0.496710526315789,2.59801529948618,"70"
"44",1,0,1,1,1,0,0,1,16,1,8,9,0.941176470588235,0.470588235294118,0.470588235294118,2.63470428448178,"71"
"45",1,0,1,1,1,0,0,0,13,4,4,16,0.764705882352941,0.2,0.564705882352941,3.10399793825512,"72"
"46",1,0,1,1,0,1,1,1,17,0,16,9,1,0.64,0.36,2.40783036338184,"73"
"47",1,0,1,1,0,1,1,0,25,2,9,11,0.925925925925926,0.45,0.475925925925926,3.27663298812932,"74"
"48",1,0,1,1,0,1,0,1,22,1,3,14,0.956521739130435,0.176470588235294,0.780051150895141,4.7072887923874,"75"
"49",1,0,1,1,0,1,0,0,12,14,3,21,0.461538461538462,0.125,0.336538461538462,2.28551872637173,"76"
"50",1,0,1,1,0,0,1,1,18,3,9,22,0.857142857142857,0.290322580645161,0.566820276497696,3.73124194706572,"77"
"51",1,0,1,1,0,0,1,0,12,10,2,18,0.545454545454545,0.1,0.445454545454545,2.73082155470407,"78"
"52",1,0,1,1,0,0,0,1,14,6,0,23,0.7,0,0.7,4.55970526824038,"79"
"53",1,0,1,1,0,0,0,0,8,14,0,22,0.363636363636364,0,0.363636363636364,2.736075859897,"80"
"54",1,0,1,0,1,1,1,0,23,1,5,5,0.958333333333333,0.5,0.458333333333333,2.70061170319403,"82"
"55",1,0,1,0,1,1,0,0,16,6,2,17,0.727272727272727,0.105263157894737,0.62200956937799,3.68645667864663,"84"
"56",1,0,1,0,1,0,1,1,19,0,9,6,1,0.6,0.4,2.58484271532927,"85"
"57",1,0,1,0,1,0,1,0,12,5,2,19,0.705882352941177,0.0952380952380952,0.610644257703081,3.54193941232581,"86"
"58",1,0,1,0,1,0,0,1,13,3,6,15,0.8125,0.285714285714286,0.526785714285714,2.84411686004453,"87"
"59",1,0,1,0,1,0,0,0,8,15,1,22,0.347826086956522,0.0434782608695652,0.304347826086957,2.23001636159311,"88"
"60",1,0,1,0,0,1,1,0,12,4,4,11,0.75,0.266666666666667,0.483333333333333,2.33150132693507,"90"
"61",1,0,1,0,0,1,0,1,14,4,4,16,0.777777777777778,0.2,0.577777777777778,3.23631735155871,"91"
"62",1,0,0,1,1,1,0,0,20,5,7,11,0.8,0.388888888888889,0.411111111111111,2.43166561952609,"100"
"63",1,0,0,1,1,0,0,1,20,5,6,17,0.8,0.260869565217391,0.539130434782609,3.45505301035278,"103"
"64",1,0,0,1,0,1,1,0,15,4,5,11,0.789473684210526,0.3125,0.476973684210526,2.49773746302739,"106"
"65",1,0,0,1,0,1,0,1,10,3,8,24,0.769230769230769,0.25,0.519230769230769,2.88683808597146,"107"
"66",1,0,0,1,0,1,0,0,7,11,1,17,0.388888888888889,0.0555555555555556,0.333333333333333,2.00445931434318,"108"
"67",1,0,0,1,0,0,1,1,8,9,1,24,0.470588235294118,0.04,0.430588235294118,2.95506453687771,"109"
"68",1,0,0,1,0,0,1,0,6,18,0,25,0.25,0,0.25,2.23283323395322,"110"
"69",1,0,0,1,0,0,0,1,7,15,0,20,0.318181818181818,0,0.318181818181818,2.34888755100638,"111"
"70",1,0,0,1,0,0,0,0,5,9,0,16,0.357142857142857,0,0.357142857142857,2.12762442980093,"112"
"71",1,0,0,0,0,1,1,0,11,16,2,21,0.407407407407407,0.0869565217391304,0.320450885668277,2.25120949677701,"122"
"72",1,0,0,0,0,1,0,1,8,17,0,18,0.32,0,0.32,2.26300255314826,"123"
