"","X1","X2","X3","X4","X5","X6","X7","X8","X9","n11","n12","n21","n22","pi_1","pi_2","phi","z_significant","index"
"1",1,1,1,1,1,1,0,0,1,4,0,1,8,1,0.111111111111111,0.888888888888889,2.42287277833567,"7"
"2",1,1,1,1,1,0,1,0,1,8,0,3,7,1,0.3,0.7,2.54064364480148,"11"
"3",1,1,1,1,1,0,0,1,1,14,0,5,8,1,0.384615384615385,0.615384615384615,3.07723472521638,"13"
"4",1,1,1,1,1,0,0,1,0,13,0,7,7,1,0.5,0.5,2.52280610193163,"14"
"5",1,1,1,1,1,0,0,0,1,5,2,1,10,0.714285714285714,0.0909090909090909,0.623376623376623,2.22223124096294,"15"
"6",1,1,1,1,0,1,0,1,1,6,1,0,7,0.857142857142857,0,0.857142857142857,2.70030862433661,"21"
"7",1,1,1,1,0,1,0,1,0,10,0,2,9,1,0.181818181818182,0.818181818181818,3.34247798660052,"22"
"8",1,1,1,1,0,1,0,0,1,6,2,1,7,0.75,0.125,0.625,2.01581052271588,"23"
"9",1,1,1,1,0,1,0,0,0,9,1,1,8,0.9,0.111111111111111,0.788888888888889,2.97858094475279,"24"
"10",1,1,1,1,0,0,1,0,0,7,1,2,8,0.875,0.2,0.675,2.37170824512628,"28"
"11",1,1,1,1,0,0,0,1,1,13,2,1,10,0.866666666666667,0.0909090909090909,0.775757575757576,3.52198823882209,"29"
"12",1,1,1,1,0,0,0,1,0,5,3,0,12,0.625,0,0.625,2.63523138347365,"30"
"13",1,1,1,1,0,0,0,0,0,8,6,0,9,0.571428571428571,0,0.571428571428571,2.35962721811425,"32"
"14",1,1,1,0,1,1,0,0,1,11,0,4,6,1,0.4,0.6,2.5561423349187,"39"
"15",1,1,1,0,1,0,1,0,1,8,1,1,4,0.888888888888889,0.2,0.688888888888889,1.99555060627944,"43"
"16",1,1,1,0,1,0,1,0,0,8,2,4,12,0.8,0.25,0.55,2.33256258528806,"44"
"17",1,1,1,0,1,0,0,1,0,11,0,4,13,1,0.235294117647059,0.764705882352941,3.57462605880733,"46"
"18",1,1,1,0,1,0,0,0,1,5,3,1,15,0.625,0.0625,0.5625,2.5,"47"
"19",1,1,1,0,0,1,0,0,1,8,2,1,7,0.8,0.125,0.675,2.37170824512628,"55"
"20",1,1,1,0,0,1,0,0,0,7,7,0,10,0.5,0,0.5,2.20138557262824,"56"
"21",1,1,1,0,0,0,1,1,1,12,2,7,11,0.857142857142857,0.388888888888889,0.468253968253968,2.31273788109488,"57"
"22",1,1,1,0,0,0,1,1,0,5,0,1,5,1,0.166666666666667,0.833333333333333,2.15580611373101,"58"
"23",1,1,1,0,0,0,1,0,1,3,3,0,14,0.5,0,0.5,2.1864534978421,"59"
"24",1,1,1,0,0,0,1,0,0,5,6,0,12,0.454545454545455,0,0.454545454545455,2.1340148453723,"60"
"25",1,1,1,0,0,0,0,1,1,7,2,0,10,0.777777777777778,0,0.777777777777778,3.03299208790445,"61"
"26",1,1,1,0,0,0,0,0,1,3,4,0,15,0.428571428571429,0,0.428571428571429,2.06138057897981,"63"
"27",1,1,0,1,1,1,0,0,0,9,1,3,8,0.9,0.272727272727273,0.627272727272727,2.45955927315888,"72"
"28",1,1,0,1,1,0,1,0,1,12,1,4,6,0.923076923076923,0.4,0.523076923076923,2.24559627045694,"75"
"29",1,1,0,1,1,0,1,0,0,10,0,1,3,1,0.25,0.75,2.36867179250441,"76"
"30",1,1,0,1,1,0,0,0,1,7,4,1,9,0.636363636363636,0.1,0.536363636363636,2.07796569595517,"79"
"31",1,1,0,1,1,0,0,0,0,5,6,0,11,0.454545454545455,0,0.454545454545455,2.03498807627667,"80"
"32",1,1,0,1,0,1,0,1,0,7,0,3,6,1,0.333333333333333,0.666666666666667,2.21204016535001,"86"
"33",1,1,0,1,0,1,0,0,0,12,2,0,10,0.857142857142857,0,0.857142857142857,3.72635402044871,"88"
"34",1,1,0,1,0,0,1,1,0,5,1,3,11,0.833333333333333,0.214285714285714,0.619047619047619,2.09165006633519,"90"
"35",1,1,0,1,0,0,1,0,1,5,5,0,12,0.5,0,0.5,2.27565978366284,"91"
"36",1,1,0,1,0,0,1,0,0,5,3,1,10,0.625,0.0909090909090909,0.534090909090909,1.97296522605361,"92"
"37",1,1,0,1,0,0,0,1,0,8,3,0,9,0.727272727272727,0,0.727272727272727,2.8441563932431,"94"
"38",1,1,0,0,1,1,0,0,0,12,1,1,8,0.923076923076923,0.111111111111111,0.811965811965812,3.36747798141169,"104"
"39",1,1,0,0,1,0,0,1,0,9,1,1,11,0.9,0.0833333333333333,0.816666666666667,3.40055142587199,"110"
"40",1,0,1,1,1,0,1,0,1,9,0,4,6,1,0.4,0.6,2.31509200619565,"139"
"41",1,0,1,1,1,0,0,1,0,8,2,1,7,0.8,0.125,0.675,2.37170824512628,"142"
"42",1,0,1,1,1,0,0,0,1,7,1,0,13,0.875,0,0.875,3.65406122848789,"143"
"43",1,0,1,1,1,0,0,0,0,7,3,1,7,0.7,0.125,0.575,1.96222131779267,"144"
"44",1,0,1,1,0,1,1,0,1,7,1,1,6,0.875,0.142857142857143,0.732142857142857,2.31687396603479,"147"
"45",1,0,1,1,0,1,1,0,0,11,0,2,5,1,0.285714285714286,0.714285714285714,2.75862103413825,"148"
"46",1,0,1,1,0,1,0,1,1,9,1,1,8,0.9,0.111111111111111,0.788888888888889,2.97858094475279,"149"
"47",1,0,1,1,0,1,0,1,0,10,1,5,10,0.909090909090909,0.333333333333333,0.575757575757576,2.53405818251278,"150"
"48",1,0,1,1,0,1,0,0,1,6,3,1,15,0.666666666666667,0.0625,0.604166666666667,2.76541146145495,"151"
"49",1,0,1,1,0,0,1,1,0,8,1,1,9,0.888888888888889,0.1,0.788888888888889,2.97858094475279,"154"
"50",1,0,1,1,0,0,1,0,0,7,5,1,10,0.583333333333333,0.0909090909090909,0.492424242424242,2.03863798238734,"156"
"51",1,0,1,1,0,0,0,1,1,9,6,0,9,0.6,0,0.6,2.50392284817836,"157"
"52",1,0,1,1,0,0,0,1,0,7,2,0,8,0.777777777777778,0,0.777777777777778,2.75868937423046,"158"
"53",1,0,1,0,1,1,0,0,1,10,0,2,7,1,0.222222222222222,0.777777777777778,3.03299208790445,"167"
"54",1,0,1,0,1,0,0,0,1,4,2,0,12,0.666666666666667,0,0.666666666666667,2.60579710864614,"175"
"55",1,0,1,0,0,1,1,0,1,9,4,2,12,0.692307692307692,0.142857142857143,0.549450549450549,2.51134258831887,"179"
"56",1,0,1,0,0,1,0,1,0,8,0,2,4,1,0.333333333333333,0.666666666666667,2.13478140957492,"182"
"57",1,0,1,0,0,1,0,0,0,7,8,0,13,0.466666666666667,0,0.466666666666667,2.40654378548428,"184"
"58",1,0,1,0,0,0,1,1,1,7,3,2,12,0.7,0.142857142857143,0.557142857142857,2.35189892882933,"185"
"59",1,0,1,0,0,0,1,1,0,6,0,4,10,1,0.285714285714286,0.714285714285714,2.43975018237133,"186"
"60",1,0,0,1,1,1,0,0,0,8,0,1,7,1,0.125,0.875,3.02371578407382,"200"
"61",1,0,0,1,1,0,0,1,0,9,2,2,8,0.818181818181818,0.2,0.618181818181818,2.39543729509055,"206"
"62",1,0,0,1,1,0,0,0,0,8,8,0,12,0.5,0,0.5,2.4756101941407,"208"
"63",1,0,0,1,0,1,1,0,1,11,5,2,12,0.6875,0.142857142857143,0.544642857142857,2.63405148278512,"211"
"64",1,0,0,1,0,1,0,1,1,11,4,0,7,0.733333333333333,0,0.733333333333333,2.74642624930238,"213"
"65",1,0,0,1,0,1,0,1,0,8,4,1,9,0.666666666666667,0.1,0.566666666666667,2.25633012678235,"214"
"66",1,0,0,1,0,0,1,1,0,5,3,1,10,0.625,0.0909090909090909,0.534090909090909,1.97296522605361,"218"
"67",1,0,0,0,1,1,1,0,1,12,1,3,6,0.923076923076923,0.333333333333333,0.58974358974359,2.45443623348769,"227"
"68",1,0,0,0,1,1,0,1,1,10,2,3,8,0.833333333333333,0.272727272727273,0.560606060606061,2.28815422707906,"229"
"69",1,0,0,0,1,0,1,1,1,13,2,4,6,0.866666666666667,0.4,0.466666666666667,2.01290262079026,"233"
"70",0,1,1,1,1,0,1,0,0,11,0,1,5,1,0.166666666666667,0.833333333333333,3.04670089828922,"268"
"71",0,1,1,1,1,0,0,1,1,12,2,3,6,0.857142857142857,0.333333333333333,0.523809523809524,2.12561460144176,"269"
"72",0,1,1,1,1,0,0,0,1,8,3,0,11,0.727272727272727,0,0.727272727272727,3.10241841149771,"271"
"73",0,1,1,1,1,0,0,0,0,8,2,0,7,0.8,0,0.8,2.75868937423046,"272"
"74",0,1,1,1,0,1,1,0,1,19,2,4,11,0.904761904761905,0.266666666666667,0.638095238095238,3.57776218137388,"275"
"75",0,1,1,1,0,1,0,1,1,10,1,2,11,0.909090909090909,0.153846153846154,0.755244755244755,3.27738596159481,"277"
"76",0,1,1,1,0,1,0,0,1,7,3,0,7,0.7,0,0.7,2.3855111119645,"279"
"77",0,1,1,1,0,0,1,0,0,5,4,1,13,0.555555555555556,0.0714285714285714,0.484126984126984,2.09403414289181,"284"
"78",0,1,1,1,0,0,0,1,0,6,2,0,9,0.75,0,0.75,2.72143296639333,"286"
"79",0,1,1,1,0,0,0,0,0,7,5,0,9,0.583333333333333,0,0.583333333333333,2.33853586673371,"288"
"80",0,1,1,0,1,0,0,0,1,7,5,0,8,0.583333333333333,0,0.583333333333333,2.20098213175899,"303"
"81",0,1,1,0,1,0,0,0,0,5,3,0,12,0.625,0,0.625,2.63523138347365,"304"
"82",0,1,1,0,0,0,0,1,1,4,4,0,10,0.5,0,0.5,1.9649836422438,"317"
"83",0,1,0,1,1,1,0,0,1,9,2,1,7,0.818181818181818,0.125,0.693181818181818,2.52244345022757,"327"
"84",0,1,0,1,1,0,1,1,1,15,0,6,5,1,0.545454545454545,0.454545454545455,2.40182710634497,"329"
"85",0,1,0,1,1,0,0,0,0,4,4,0,11,0.5,0,0.5,2.06956434809578,"336"
"86",0,1,0,1,0,1,0,1,0,12,2,6,10,0.857142857142857,0.375,0.482142857142857,2.31575543058539,"342"
"87",0,1,0,1,0,1,0,0,0,3,2,0,10,0.6,0,0.6,2.05395959064437,"344"
"88",0,1,0,1,0,0,1,1,0,4,2,0,8,0.666666666666667,0,0.666666666666667,2.13478140957492,"346"
"89",0,1,0,1,0,0,0,1,0,3,2,0,17,0.6,0,0.6,2.69540755327,"350"
"90",0,0,1,1,1,1,0,0,1,9,3,3,12,0.75,0.2,0.55,2.46817240078565,"391"
"91",0,0,1,1,1,1,0,0,0,9,2,2,8,0.818181818181818,0.2,0.618181818181818,2.39543729509055,"392"
"92",0,0,1,1,1,0,1,0,1,7,4,0,6,0.636363636363636,0,0.636363636363636,2.03211499231499,"395"
"93",0,0,1,1,1,0,0,1,0,9,5,3,12,0.642857142857143,0.2,0.442857142857143,2.0424146860436,"398"
"94",0,0,1,1,1,0,0,0,1,5,2,1,13,0.714285714285714,0.0714285714285714,0.642857142857143,2.5617376914899,"399"
"95",0,0,1,1,0,1,1,0,1,9,3,0,9,0.75,0,0.75,2.99140357865173,"403"
"96",0,0,1,0,1,1,1,0,1,4,0,2,8,1,0.2,0.8,2.13478140957492,"419"
"97",0,0,1,0,0,1,1,1,1,9,1,3,7,0.9,0.3,0.6,2.28217732293819,"433"
"98",0,0,0,1,1,1,0,0,0,4,0,2,7,1,0.222222222222222,0.777777777777778,1.99358262761334,"456"
"99",0,0,0,1,0,0,1,1,1,7,2,2,9,0.777777777777778,0.181818181818182,0.595959595959596,2.21348143227252,"473"
"100",1,1,1,1,1,0,0,NA,0,16,2,8,16,0.888888888888889,0.333333333333333,0.555555555555556,3.28537549294287,"14 16"
"101",1,1,1,0,0,NA,1,0,1,13,5,3,20,0.722222222222222,0.130434782608696,0.591787439613527,3.53246695182,"51 59"
"102",1,1,NA,0,0,1,0,0,0,13,13,0,18,0.5,0,0.5,3.23807385134434,"56 120"
"103",1,1,0,0,0,1,0,0,NA,10,10,0,17,0.5,0,0.5,3.04153034881211,"119 120"
"104",1,0,NA,1,1,1,1,0,0,19,0,18,12,1,0.6,0.4,2.83161067342387,"132 196"
"105",1,NA,0,1,0,0,1,0,1,9,9,0,20,0.5,0,0.5,3.23777130880264,"91 219"
"106",1,NA,0,1,0,0,0,1,1,10,14,1,17,0.416666666666667,0.0555555555555556,0.361111111111111,2.27949871013376,"93 221"
