"","keys","case_number","accumulated_causal_effect","phi"
"1","1 1 0 0 0 0 1 0",45,9,0.2
"2","1 0 0 1 0 1 1 0",49,18,0.36734693877551
"3","0 0 1 0 0 0 0 0",35,1,0.0285714285714286
"4","0 0 0 0 0 0 1 0",40,0,0
"5","0 0 0 1 1 1 0 1",42,5,0.119047619047619
"6","1 0 0 1 0 0 0 1",48,15,0.3125
"7","0 0 1 0 1 0 1 0",53,14,0.264150943396226
"8","0 0 0 0 0 1 1 1",41,0,0
"9","0 1 0 0 1 0 1 0",46,9,0.195652173913043
"10","1 0 1 0 1 1 0 1",47,12,0.25531914893617
"11","1 0 0 0 1 1 1 1",41,2,0.0487804878048781
"12","0 1 1 1 0 0 1 0",39,20,0.512820512820513
"14","0 1 0 1 1 1 0 0",46,19,0.41304347826087
"15","0 1 1 0 0 1 0 0",26,6,0.230769230769231
"17","0 0 1 0 0 0 1 0",40,4,0.1
"18","1 1 1 0 0 0 1 1",43,21,0.488372093023256
"19","0 0 1 1 0 1 0 1",42,13,0.30952380952381
"20","1 1 1 0 0 1 0 1",45,24,0.533333333333333
"21","1 1 0 1 1 1 1 1",30,0,0
"22","0 0 1 1 0 0 1 0",40,8,0.2
"23","1 1 0 1 0 1 1 0",29,17,0.586206896551724
"24","1 0 1 1 0 1 1 0",33,16,0.484848484848485
"25","0 0 1 0 1 0 0 1",40,7,0.175
"26","0 0 1 1 0 1 1 0",44,23,0.522727272727273
"27","0 0 1 1 1 0 0 1",47,23,0.48936170212766
"28","0 0 0 1 1 1 0 0",41,15,0.365853658536585
"29","1 0 1 0 0 0 0 1",33,10,0.303030303030303
"30","1 1 1 0 1 1 1 1",37,1,0.027027027027027
"31","1 1 1 0 0 0 0 1",36,26,0.722222222222222
"32","1 1 1 0 1 0 0 1",50,32,0.64
"33","0 1 0 0 1 0 0 0",47,2,0.0425531914893617
"34","1 0 1 1 0 0 0 1",41,26,0.634146341463415
"36","0 0 0 1 1 1 1 1",37,2,0.0540540540540541
"37","1 1 0 1 0 0 1 1",37,22,0.594594594594595
"38","0 0 0 1 0 1 0 0",40,4,0.1
"39","0 1 0 0 1 1 0 0",30,8,0.266666666666667
"40","0 1 0 1 0 0 1 1",23,13,0.565217391304348
"41","0 1 1 1 1 0 0 0",39,21,0.538461538461538
"44","1 0 0 1 1 0 1 0",52,25,0.480769230769231
"45","0 1 0 0 0 0 1 1",45,9,0.2
"46","0 1 0 1 1 0 0 0",43,8,0.186046511627907
